date,Bx,By,Bz,Mx,My,Mz,dst
19970422 05:30,-44.08,31.81,16.73,-60.52,9.73,3.07,-70.50
19970422 06:30,-38.60,26.20,19.42,-58.36,5.34,3.04,-65.50
19970422 07:30,-29.32,24.33,25.23,-59.17,4.64,3.44,-59.00
19970422 08:30,-12.36,24.63,28.51,-51.56,3.34,3.76,-50.50
19970501 20:30,-0.20,51.39,37.84,-36.92,6.98,10.45,-52.00
19970501 21:30,-12.29,59.13,36.24,-48.19,13.28,10.11,-56.00
19970501 22:30,-6.53,53.32,34.96,-39.64,15.73,8.42,-59.50
19970501 23:30,0.04,53.00,34.97,-36.79,18.66,6.75,-63.50
19970502 00:30,-9.14,51.80,34.99,-43.72,15.03,5.57,-59.50
19970502 01:30,-18.25,50.86,33.06,-58.46,7.74,5.03,-54.00
19970502 02:30,-12.69,42.03,29.85,-53.10,2.25,4.64,-52.00
19970515 07:30,-45.16,37.77,15.28,-113.66,-8.56,4.24,-85.00
19970515 08:30,-75.00,44.49,20.81,-124.44,14.18,4.86,-95.00
19970515 09:30,-74.39,36.22,27.06,-111.14,-1.43,5.17,-96.00
19970515 16:30,-84.55,46.97,36.19,-131.62,-6.69,14.87,-91.50
19970515 17:30,-66.89,50.73,36.91,-110.15,-5.86,14.07,-86.00
19970515 18:30,-53.73,47.18,36.68,-94.02,-2.20,14.07,-81.00
19970515 19:30,-37.93,43.84,36.86,-79.78,1.87,13.79,-76.00
19970515 20:30,-32.45,42.82,37.41,-76.89,2.84,13.53,-69.00
19970515 21:30,-19.53,41.27,37.83,-63.72,5.21,12.89,-57.50
19970515 22:30,-7.55,39.88,37.38,-49.31,7.75,10.94,-50.50
19970517 02:30,-6.06,43.56,33.63,-38.82,4.40,5.23,-50.50
19970527 01:30,21.42,37.12,29.59,-11.92,11.77,4.45,-54.50
19970527 02:30,6.35,38.26,30.34,-25.13,17.83,4.45,-63.00
19970527 03:30,-9.35,42.48,35.36,-44.21,11.88,4.38,-70.50
19970527 04:30,-26.49,48.91,36.32,-62.78,11.81,5.20,-72.00
19970527 05:30,-37.64,47.98,32.81,-85.09,4.68,4.26,-72.00
19970527 06:30,-46.46,46.19,28.26,-83.97,3.96,4.50,-70.00
19970527 07:30,-35.83,37.97,24.17,-78.47,2.52,4.35,-62.50
19970527 08:30,-25.50,33.44,23.75,-71.83,-0.67,4.14,-55.50
19970527 09:30,-13.03,32.84,26.04,-58.69,-2.93,4.72,-51.50
19970608 21:30,1.54,50.12,33.48,-43.32,7.35,7.97,-52.00
19970608 22:30,2.61,50.88,33.81,-40.25,5.81,7.23,-60.00
19970608 23:30,1.75,47.67,32.34,-37.13,9.58,6.33,-67.50
19970609 00:30,6.61,42.87,31.98,-25.25,12.23,4.87,-74.50
19970609 01:30,-4.00,47.88,31.88,-28.44,16.08,3.15,-79.00
19970609 02:30,-28.35,53.25,33.55,-40.53,24.53,2.85,-82.00
19970609 03:30,-45.75,55.73,35.33,-59.36,21.22,2.28,-84.00
19970609 04:30,-58.47,61.16,35.10,-76.62,33.89,1.95,-82.00
