date,Bx,By,Bz,Mx,My,Mz,dst
19990218 21:30,-88.77,8.66,33.05,-109.30,-26.75,21.59,-101.50
19990218 22:30,-95.01,10.76,27.19,-108.86,-24.90,23.80,-104.00
19990218 23:30,-101.34,5.05,23.49,-107.29,-27.25,25.88,-101.50
19990219 00:30,-108.52,-2.20,24.05,-116.72,-25.82,27.66,-103.50
19990219 01:30,-118.84,-0.59,27.24,-122.17,-8.78,30.69,-103.00
19990922 22:30,-115.97,-37.59,-7.47,-153.78,-80.48,11.91,-150.00
19990923 01:30,-158.67,-35.41,12.26,-164.39,-32.92,30.30,-146.00
19990923 02:30,-141.89,-44.87,11.05,-136.55,-25.30,30.20,-140.50
19990923 03:30,-150.48,-55.11,8.93,-156.51,-23.21,31.28,-140.50
19990923 04:30,-167.42,-56.70,15.26,-178.21,-13.91,34.09,-133.50
19990923 05:30,-141.77,-46.61,20.45,-149.85,-24.83,32.83,-120.50
19990923 06:30,-123.65,-31.81,23.59,-122.81,-22.50,30.59,-107.50
19990923 07:30,-112.76,-26.72,23.02,-110.29,-19.21,28.75,-104.00
19990923 08:30,-112.06,-23.59,23.55,-106.98,-18.77,27.91,-105.00
19990923 09:30,-107.04,-22.99,23.79,-101.31,-16.90,27.46,-102.00
19991022 02:30,-111.23,-43.78,9.45,-160.35,-44.36,21.87,-102.50
19991022 03:30,-134.08,-48.54,10.72,-169.83,-45.72,24.41,-132.00
19991022 13:30,-145.12,-28.78,25.75,-141.13,-32.76,34.97,-132.50
19991022 14:30,-128.89,-31.38,24.94,-125.56,-32.30,33.70,-118.50
19991022 15:30,-107.66,-38.22,22.93,-116.56,-37.77,30.32,-114.50
19991022 16:30,-90.23,-35.07,22.95,-105.45,-33.99,28.08,-113.50
19991022 17:30,-86.32,-35.32,22.30,-102.71,-34.48,27.85,-112.00
19991022 18:30,-92.95,-32.12,23.11,-102.07,-34.23,28.63,-106.50
19991113 21:30,-89.53,-26.86,12.87,-99.69,-30.60,24.04,-102.00
20000212 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-117.00
20000212 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-122.00
20000212 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-101.00
20000212 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-102.00
20000212 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-101.50
20000212 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-108.50
20000212 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-111.50
20000212 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-107.50
20000407 13:30,-149.98,-30.74,28.31,-150.63,-23.17,37.71,-145.00
20000407 14:30,-141.41,-21.51,29.28,-140.28,-10.15,36.21,-138.00
20000407 15:30,-137.26,-16.58,28.00,-136.33,-1.35,34.91,-133.00
20000407 16:30,-126.04,-14.77,27.18,-123.55,8.23,32.41,-132.50
20000407 17:30,-131.65,-11.68,28.37,-142.56,-2.29,31.18,-130.50
20000407 18:30,-121.02,-10.78,26.36,-133.74,-5.59,29.58,-118.50
20000407 19:30,-103.72,-3.16,22.01,-119.71,-2.62,27.77,-107.50
20000407 20:30,-92.04,2.27,15.33,-114.33,-4.10,25.88,-100.50
20000524 03:30,-168.27,-87.28,-0.45,-211.05,-42.64,18.69,-116.50
20000524 04:30,-174.86,-91.34,8.50,-192.60,-50.52,29.86,-128.50
20000524 05:30,-150.85,-81.35,14.45,-148.30,-45.20,32.04,-125.00
20000524 06:30,-141.71,-55.53,24.12,-135.27,-33.85,31.25,-125.00
20000524 07:30,-147.78,-41.95,25.42,-168.91,-25.05,31.73,-138.00
20000524 08:30,-156.69,-35.84,25.50,-187.29,-14.46,33.17,-144.00
20000524 09:30,-149.29,-39.67,26.49,-162.17,-21.60,34.45,-125.50
20000524 10:30,-111.30,-29.08,25.32,-125.07,-26.00,31.35,-106.00
20000524 11:30,-116.12,-22.15,26.11,-123.04,-19.41,31.76,-105.50
20000524 12:30,-121.16,-19.24,27.08,-128.76,-11.64,33.06,-105.50
20000715 19:30,-63.64,48.07,4.09,-43.27,69.44,10.98,-128.50
20000716 11:30,-157.88,-43.85,29.45,-152.36,-29.25,31.55,-145.00
20000716 12:30,-152.49,-37.31,30.71,-148.24,-25.37,32.24,-138.50
20000716 13:30,-145.74,-26.19,30.83,-145.91,-17.99,32.87,-136.50
20000716 14:30,-145.97,-24.36,28.92,-144.75,-15.91,33.02,-138.00
20000716 15:30,-143.25,-28.74,26.36,-140.01,-14.29,33.26,-134.50
20000716 16:30,-135.37,-26.76,30.24,-129.29,-9.34,32.91,-128.00
20000716 17:30,-131.44,-22.38,31.96,-125.12,-5.23,32.18,-124.50
20000716 18:30,-132.90,-28.13,26.50,-124.79,-6.07,30.93,-123.50
20000716 19:30,-135.03,-35.04,20.30,-121.08,-10.13,29.59,-121.50
20000716 20:30,-130.28,-40.31,15.08,-117.24,-13.14,27.83,-118.00
20000716 21:30,-125.60,-44.41,9.84,-114.34,-18.28,26.40,-116.50
20000716 22:30,-125.76,-43.52,4.94,-115.12,-23.82,25.27,-116.50
20000716 23:30,-125.58,-38.81,6.33,-115.20,-27.82,24.75,-114.50
20000717 00:30,-118.18,-40.64,7.78,-110.82,-35.74,24.45,-111.50
20000717 01:30,-111.81,-47.41,10.50,-107.26,-28.68,24.20,-108.00
20000717 02:30,-106.19,-48.07,20.02,-116.48,-27.43,23.81,-103.00
20000812 05:30,-124.22,-34.48,20.47,-125.47,-9.91,29.79,-100.50
20000812 16:30,-138.87,-30.73,35.86,-126.15,0.41,31.62,-148.00
20000812 17:30,-122.59,-45.49,33.94,-110.97,-8.72,33.20,-139.00
20000812 18:30,-115.05,-42.89,36.16,-124.67,-12.63,34.98,-121.00
20000812 19:30,-100.97,-27.42,41.37,-108.88,-1.00,34.01,-103.50
20000812 20:30,-91.57,-15.23,40.79,-98.38,1.52,34.62,-102.00
20000812 21:30,-100.60,-5.99,39.85,-98.43,1.80,34.76,-102.50
20000917 21:30,-97.34,-3.82,-11.29,-105.87,-47.93,6.92,-116.00
20000918 03:30,-152.40,-47.42,16.94,-148.74,-39.47,33.10,-148.50
20000918 04:30,-150.81,-50.07,16.10,-147.23,-28.83,33.39,-136.50
20000918 05:30,-140.66,-45.35,20.14,-144.32,-25.50,32.73,-129.50
20000918 06:30,-139.45,-38.44,24.14,-141.79,-21.48,32.25,-121.50
20000918 07:30,-128.10,-34.54,24.43,-121.22,-21.06,31.04,-111.00
20000918 08:30,-125.50,-33.90,24.78,-107.83,-16.91,30.20,-101.00
20001004 16:30,-63.33,-38.01,14.11,-84.66,-13.85,19.24,-105.50
20001004 17:30,-76.28,-36.49,24.55,-94.51,-16.40,19.96,-116.00
20001004 18:30,-76.89,-31.99,30.89,-111.08,-16.81,19.53,-131.50
20001004 19:30,-115.05,-34.43,31.82,-128.99,-16.30,20.75,-142.00
20001004 20:30,-128.12,-22.99,34.18,-133.44,-42.03,23.44,-141.00
20001004 21:30,-133.00,-16.00,34.07,-142.35,-44.13,25.66,-128.50
20001004 22:30,-128.45,-9.61,29.46,-131.30,-39.00,27.85,-119.00
20001004 23:30,-137.29,-3.31,26.92,-130.80,-37.43,31.48,-122.00
20001005 00:30,-139.65,-4.94,23.70,-131.65,-40.11,34.37,-123.00
20001005 01:30,-142.42,-12.40,17.24,-139.10,-27.63,35.57,-114.50
20001005 04:30,-148.91,-48.11,11.67,-164.87,-13.10,36.79,-125.00
20001005 08:30,-187.75,-48.30,37.26,-167.58,-29.57,46.46,-143.00
20001005 09:30,-152.21,-35.74,35.42,-139.50,-15.53,42.14,-126.00
20001005 10:30,-142.31,-34.81,32.35,-136.73,-23.27,40.01,-118.00
20001005 11:30,-111.24,-24.53,35.28,-148.54,-20.91,35.57,-141.50
20001005 16:30,-97.12,-3.34,27.59,-117.70,-4.10,23.57,-149.00
20001005 17:30,-88.74,-23.28,18.03,-114.61,-3.82,22.58,-145.50
20001005 18:30,-100.27,-37.56,19.13,-134.15,-16.15,24.04,-142.50
20001005 19:30,-111.40,-49.32,19.71,-132.08,-29.50,27.18,-139.00
20001005 20:30,-112.35,-43.07,23.60,-130.82,-25.39,28.35,-135.00
20001005 21:30,-115.71,-37.61,25.17,-137.68,-41.37,29.81,-124.50
20001005 22:30,-112.45,-28.85,27.59,-130.67,-32.08,29.51,-111.00
20001005 23:30,-108.33,-20.28,28.17,-112.10,-27.82,30.25,-105.50
20001006 00:30,-111.12,-17.97,27.81,-109.04,-24.16,31.20,-103.00
20001014 14:30,-79.56,-4.08,25.18,-99.15,-27.62,26.27,-103.00
20001014 15:30,-72.51,-21.76,18.87,-72.17,-14.10,23.00,-102.50
20001029 00:30,-101.31,-16.37,7.65,-137.09,-32.51,16.79,-107.00
20001029 01:30,-116.81,-27.12,11.02,-148.39,-41.77,21.54,-120.00
20001029 02:30,-137.19,-32.38,14.36,-167.58,-37.80,23.55,-125.50
20001029 03:30,-146.40,-38.71,15.19,-160.28,-31.48,26.31,-117.00
20001029 04:30,-136.81,-52.77,10.78,-144.96,-23.37,27.18,-109.00
20001029 05:30,-138.44,-45.11,15.44,-145.62,-23.83,28.58,-110.50
20001029 06:30,-141.02,-39.62,19.22,-141.37,-21.31,29.61,-112.50
20001029 07:30,-148.28,-38.27,21.52,-146.13,-20.02,31.62,-116.00
20001029 08:30,-150.51,-35.52,24.14,-147.25,-16.34,33.56,-113.00
20001106 19:30,-84.17,-51.82,20.21,-103.02,-26.77,16.12,-127.50
20001106 20:30,-111.41,-49.28,23.59,-127.50,-40.48,20.69,-149.50
20001106 21:30,-131.36,-41.23,26.92,-144.01,-49.14,25.08,-148.00
20001106 22:30,-133.64,-18.22,35.10,-133.33,-31.83,26.32,-139.50
20001106 23:30,-147.95,-6.33,36.33,-147.80,-24.73,29.48,-145.50
20001107 00:30,-161.54,-7.60,26.82,-172.80,-22.52,31.59,-150.00
20001107 01:30,-166.18,-16.05,18.48,-183.80,-12.78,32.58,-145.50
20001107 02:30,-162.36,-25.73,14.64,-184.86,-4.58,33.78,-134.00
20001107 03:30,-166.30,-23.43,19.29,-187.27,5.40,32.49,-121.50
20001107 04:30,-153.93,-25.82,17.85,-165.54,5.57,29.77,-116.50
20001107 05:30,-157.13,-28.09,18.61,-158.91,-5.10,28.92,-116.00
20001107 06:30,-152.82,-22.33,21.46,-158.87,-7.06,27.38,-113.50
20001107 07:30,-152.58,-18.26,21.81,-158.95,-7.39,27.46,-110.00
20001107 08:30,-142.63,-10.19,23.68,-144.39,-0.56,25.75,-105.00
20001107 09:30,-136.64,-18.11,20.35,-135.06,-6.03,24.62,-103.50
20001129 09:30,-131.37,-20.03,22.92,-134.92,-8.00,30.01,-101.00
20001129 10:30,-140.70,-23.10,22.42,-135.39,-5.02,32.64,-105.00
20001129 11:30,-125.09,-22.31,24.53,-112.88,4.56,32.76,-106.00
20001129 12:30,-109.66,-11.50,25.97,-115.09,-3.98,30.77,-114.00
20001129 13:30,-112.40,-8.92,25.28,-121.96,-5.72,29.23,-102.50
20010320 05:30,-131.85,-53.30,12.36,-140.48,-23.34,25.31,-104.50
20010320 06:30,-119.91,-38.31,16.68,-129.66,-19.17,26.38,-113.50
20010320 07:30,-152.28,-46.63,14.87,-151.82,-5.11,28.65,-125.50
20010320 08:30,-148.59,-42.55,19.41,-138.17,-18.50,31.69,-126.00
20010320 09:30,-126.43,-18.47,26.25,-124.80,-8.44,31.13,-124.50
20010320 10:30,-127.15,-13.29,22.92,-117.99,-1.23,30.39,-131.50
20010320 11:30,-134.61,-9.09,24.35,-122.33,-7.48,30.38,-141.00
20010320 12:30,-124.32,-2.25,24.85,-135.04,-4.17,27.45,-147.00
20010320 13:30,-117.26,-3.69,22.84,-128.48,-20.18,23.51,-141.50
20010320 14:30,-92.35,-29.24,16.06,-98.61,-10.94,16.14,-141.00
20010320 15:30,-91.86,-33.17,16.49,-119.52,-19.45,13.01,-147.00
20010320 16:30,-97.83,-47.68,13.62,-124.84,-40.17,14.84,-140.00
20010320 17:30,-83.15,-60.16,14.30,-110.09,-44.09,14.89,-130.50
20010320 18:30,-76.67,-47.56,20.83,-105.13,-39.72,15.51,-128.50
20010320 19:30,-102.14,-44.57,22.18,-110.66,-29.73,17.89,-128.00
20010320 20:30,-119.98,-31.21,27.85,-108.60,-23.12,21.54,-122.00
20010320 21:30,-123.59,-7.20,31.37,-105.40,-10.30,23.18,-114.50
20010320 22:30,-128.72,1.76,29.29,-101.74,-6.70,24.46,-105.50
20010401 08:30,-169.27,-26.50,36.26,-155.25,-16.87,36.66,-143.00
20010401 09:30,-151.20,-26.47,35.00,-132.60,-25.28,35.05,-140.00
20010401 10:30,-145.37,-28.96,33.54,-136.91,-29.52,34.20,-142.00
20010401 11:30,-141.20,-29.18,32.82,-142.63,-32.24,33.40,-138.00
20010401 12:30,-134.47,-27.63,31.16,-140.13,-33.94,33.36,-130.00
20010401 13:30,-130.27,-25.48,30.11,-133.03,-28.92,32.75,-121.00
20010401 14:30,-122.91,-20.78,30.10,-119.51,-22.65,31.62,-113.00
20010401 15:30,-118.38,-18.88,28.71,-111.52,-17.50,30.55,-107.50
20010401 16:30,-112.70,-20.40,27.28,-104.39,-16.40,30.12,-101.50
20010402 03:30,-107.08,-56.06,8.08,-121.31,-36.76,28.08,-101.00
20010411 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-104.50
20010411 19:30,-80.14,-6.29,26.59,-92.49,0.11,12.64,-125.50
20010412 08:30,-166.02,-44.47,34.09,-143.65,-21.53,42.93,-141.00
20010412 09:30,-139.51,-38.59,33.05,-117.68,-26.72,41.33,-129.50
20010412 10:30,-125.94,-33.57,31.76,-113.63,-24.95,38.24,-121.00
20010412 11:30,-118.08,-30.82,32.27,-109.82,-23.39,36.86,-114.50
20010412 12:30,-119.38,-27.86,30.89,-114.74,-22.75,36.33,-109.50
20010412 13:30,-116.56,-22.79,30.84,-111.46,-15.30,34.79,-108.00
20010412 14:30,-118.10,-18.84,29.67,-110.70,-13.11,33.53,-108.50
20010412 15:30,-114.89,-14.22,29.40,-103.27,-7.08,32.00,-105.00
20010418 05:30,-158.56,-70.46,20.01,-168.89,-34.32,32.85,-109.00
20010418 06:30,-155.63,-41.42,31.80,-156.45,-38.72,35.62,-111.50
20010418 07:30,-139.83,-32.98,28.53,-134.52,-20.64,34.62,-105.50
20011001 05:30,-150.90,-36.43,4.08,-92.54,145.90,-36.30,-107.00
20011001 06:30,-147.66,-31.03,10.90,-91.00,141.16,-36.64,-120.50
20011001 07:30,-161.44,-34.71,11.01,-94.94,151.80,-36.79,-138.50
20011001 08:30,-177.24,-39.30,14.45,-104.60,143.38,-36.49,-143.50
20011001 09:30,-157.16,-23.97,20.45,-89.95,147.99,-39.61,-129.50
20011001 10:30,-132.04,-28.63,15.11,-59.85,143.98,-43.16,-119.00
20011001 11:30,-134.25,-25.47,16.95,-58.80,139.34,-44.98,-115.00
20011001 12:30,-108.71,-19.33,18.59,-44.18,130.28,-48.26,-112.50
20011001 13:30,-104.48,-9.22,17.87,-35.14,133.04,-50.45,-111.50
20011001 14:30,-105.50,-11.23,15.44,-39.54,126.58,-51.27,-109.00
