date,Bx,By,Bz,Mx,My,Mz,dst
19980504 04:30,-234.41,-67.71,24.61,-282.30,-44.03,44.51,-183.50
19980504 05:30,-273.37,-76.27,29.05,-307.56,-61.41,57.78,-198.50
19980504 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-188.50
19980504 07:30,-201.04,-63.39,32.12,-210.47,-89.60,51.41,-177.50
19980504 08:30,-173.52,-41.58,36.15,-172.40,-61.18,47.52,-152.50
19980827 08:30,-154.55,-20.07,29.58,-223.93,7.63,32.47,-151.50
19980925 03:30,-195.76,-39.10,21.35,-223.54,-69.31,32.44,-161.00
19980925 04:30,-208.45,-36.67,25.64,-244.59,-43.50,36.16,-168.00
19980925 05:30,-200.45,-30.59,25.73,-249.87,-35.78,36.99,-167.50
19980925 06:30,-233.03,-10.62,31.85,-290.21,16.64,36.40,-185.50
19980925 07:30,-222.97,-23.59,25.37,-248.37,-7.11,38.68,-199.00
19980925 09:30,-188.13,-23.30,27.09,-197.27,-11.52,33.32,-200.00
19980925 10:30,-181.72,-22.00,31.14,-178.75,0.03,28.42,-182.50
19980925 11:30,-132.69,-27.30,27.30,-147.92,-38.76,22.31,-159.50
19990922 23:30,-171.74,-36.87,3.46,-199.23,-84.14,21.78,-164.00
19990923 00:30,-163.38,-38.28,8.05,-188.48,-66.92,28.31,-154.00
19991022 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-180.00
19991022 08:30,-239.03,-4.63,44.17,-258.84,-17.42,44.02,-195.00
19991022 09:30,-201.23,-20.66,33.68,-197.82,-39.20,42.57,-183.50
19991022 10:30,-193.51,-23.77,31.75,-199.34,-34.49,40.81,-181.00
19991022 11:30,-169.94,-15.75,31.87,-182.10,-33.22,38.91,-172.50
19991022 12:30,-154.11,-17.19,28.49,-163.31,-42.94,36.84,-154.00
20000406 19:30,NaN,NaN,NaN,NaN,NaN,NaN,-161.50
20000407 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-196.00
20000407 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-189.00
20000407 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-171.50
20000407 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-161.00
20000407 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-164.00
20000407 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-162.50
20000407 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-159.50
20000407 12:30,-157.05,-34.91,29.37,-154.56,-28.61,38.82,-154.50
20000716 06:30,-206.14,-52.01,33.08,-190.00,-31.98,37.28,-186.50
20000716 07:30,-191.03,-51.82,31.56,-174.02,-28.51,36.57,-176.00
20000716 08:30,-186.18,-51.12,31.43,-169.95,-28.36,35.35,-169.50
20000716 09:30,-173.19,-45.15,31.72,-164.35,-29.89,33.45,-161.00
20000716 10:30,-166.10,-44.28,29.85,-159.37,-28.34,32.05,-152.50
20000812 06:30,-176.93,-18.84,27.53,-200.24,2.68,34.66,-155.50
20000812 07:30,-230.22,-63.17,22.47,-280.14,-48.37,41.14,-199.50
