date,Bx,By,Bz,Mx,My,Mz,dst
19970422 04:30,-110.60,-16.30,18.17,-85.81,-8.63,6.70,-76.00
19970422 05:30,-102.39,-12.02,25.34,-72.20,-8.70,7.50,-70.50
19970422 06:30,-93.84,-10.51,28.81,-65.58,-8.13,7.67,-65.50
19970422 07:30,-84.80,-8.65,28.04,-63.91,-7.11,7.93,-59.00
19970422 08:30,-69.70,-7.93,28.83,-55.91,-7.43,8.03,-50.50
19970501 20:30,-41.32,12.02,20.05,-21.58,15.01,11.98,-52.00
19970501 21:30,-60.13,9.81,15.62,-43.67,15.90,11.22,-56.00
19970501 22:30,-69.35,0.94,14.65,-49.82,5.83,9.75,-59.50
19970501 23:30,-68.68,5.58,18.74,-46.56,6.87,8.12,-63.50
19970502 00:30,-85.74,0.73,14.65,-54.54,0.37,7.31,-59.50
19970502 01:30,-80.07,-3.17,14.61,-61.99,-3.06,7.51,-54.00
19970502 02:30,-66.90,-13.01,13.12,-53.43,-7.64,7.65,-52.00
19970515 07:30,-148.62,-33.04,-13.64,-144.42,-31.23,9.51,-85.00
19970515 08:30,-175.94,-30.07,-0.83,-164.84,-21.93,11.02,-95.00
19970515 09:30,-151.94,-29.51,10.53,-128.57,-21.72,12.11,-96.00
19970515 16:30,-121.80,-7.66,30.98,-116.04,-5.51,19.55,-91.50
19970515 17:30,-105.19,-2.21,32.82,-98.26,-2.85,18.49,-86.00
19970515 18:30,-92.77,0.78,32.16,-84.87,1.30,18.15,-81.00
19970515 19:30,-85.66,0.70,30.63,-75.92,2.57,17.41,-76.00
19970515 20:30,-83.68,0.27,28.10,-73.59,2.52,17.05,-69.00
19970515 21:30,-69.45,0.11,29.32,-61.44,1.91,16.15,-57.50
19970515 22:30,-53.86,5.76,31.29,-49.20,-1.10,13.93,-50.50
19970517 02:30,-85.37,-22.96,20.39,-46.04,-6.69,8.32,-50.50
19970527 01:30,-38.60,-1.73,14.83,-19.08,1.49,6.10,-54.50
19970527 02:30,-60.31,-5.70,5.88,-39.39,4.33,5.71,-63.00
19970527 03:30,-73.23,-19.33,3.29,-57.81,-4.09,6.19,-70.50
19970527 04:30,-90.68,-22.40,6.41,-82.20,-5.16,7.68,-72.00
19970527 05:30,-103.16,-27.66,9.23,-99.46,-18.88,8.22,-72.00
19970527 06:30,-104.64,-26.40,16.09,-97.15,-15.33,9.23,-70.00
19970527 07:30,-91.90,-25.69,21.76,-85.74,-12.72,9.39,-62.50
19970527 08:30,-77.59,-20.58,26.51,-71.56,-11.99,9.27,-55.50
19970527 09:30,-69.53,-19.00,26.68,-62.38,-12.10,9.66,-51.50
19970608 21:30,-48.55,3.03,20.84,-33.36,6.94,10.43,-52.00
19970608 22:30,-44.51,-2.53,20.93,-29.99,4.44,9.58,-60.00
19970608 23:30,-52.05,-0.04,24.11,-32.79,2.96,8.40,-67.50
19970609 00:30,-57.91,0.17,26.23,-26.07,2.23,6.64,-74.50
19970609 01:30,-74.72,-2.09,21.63,-35.54,-0.68,4.81,-79.00
19970609 02:30,-91.41,0.89,15.34,-57.19,4.18,4.24,-82.00
19970609 03:30,-102.86,-5.69,11.19,-80.90,-4.56,4.33,-84.00
19970609 04:30,-122.04,-5.59,8.86,-112.30,-4.16,4.36,-82.00
19970609 05:30,-109.26,-16.90,12.74,-97.44,-6.16,5.56,-77.00
19970609 06:30,-100.21,-16.21,17.87,-87.15,-6.34,5.32,-75.00
19970609 07:30,-107.60,-22.30,14.81,-96.84,-12.24,6.50,-72.00
19970609 08:30,-120.38,-27.51,15.75,-117.13,-19.35,8.69,-67.00
19970609 09:30,-109.96,-33.35,17.84,-106.00,-28.12,11.09,-65.50
19970609 10:30,-114.06,-26.39,22.98,-116.69,-24.88,12.26,-66.50
19970609 11:30,-102.05,-16.26,26.84,-99.85,-11.67,14.64,-62.00
19970609 12:30,-81.02,-23.10,29.27,-76.62,-16.01,16.36,-53.00
19970609 15:30,-70.10,-6.43,31.01,-62.23,1.43,17.78,-50.50
19970609 18:30,-60.17,4.93,28.60,-51.33,13.53,16.97,-52.00
