date,Bx,By,Bz,Mx,My,Mz,dst
19980504 04:30,-51.00,100.16,10.20,-104.93,62.37,26.95,-183.50
19980504 05:30,-47.43,84.54,7.56,-116.75,67.73,24.68,-198.50
19980504 06:30,-99.88,98.54,0.28,-101.61,90.91,26.43,-188.50
19980504 07:30,-108.71,69.96,1.17,-124.38,73.38,29.26,-177.50
19980504 08:30,-127.15,25.40,1.54,-125.85,29.15,30.35,-152.50
19980827 08:30,-143.93,13.24,24.81,-160.06,19.92,38.85,-151.50
19980925 03:30,-78.24,98.79,33.74,-64.13,90.59,32.19,-161.00
19980925 04:30,-100.11,38.72,25.87,-112.87,39.67,33.80,-168.00
19980925 05:30,-112.88,10.71,19.14,-127.41,23.35,36.18,-167.50
19980925 06:30,-73.66,-39.45,15.28,-108.75,-40.87,36.27,-185.50
19980925 07:30,-69.52,-30.27,12.29,-93.81,-24.47,34.24,-199.00
19980925 09:30,-161.07,-0.25,36.34,-154.28,-5.29,47.14,-200.00
19980925 10:30,-172.31,12.37,49.52,-150.75,8.45,53.40,-182.50
19980925 11:30,-190.01,33.85,63.90,-159.93,47.90,60.09,-159.50
19990922 23:30,-162.07,89.55,56.73,-141.03,92.15,49.86,-164.00
19990923 00:30,-120.59,67.68,53.06,-114.78,62.16,48.06,-154.00
19991022 04:30,-37.50,112.18,37.08,-39.49,86.53,32.66,-180.00
19991022 08:30,-143.28,-0.81,26.41,-142.76,2.30,42.93,-195.00
19991022 09:30,-129.39,8.01,33.92,-126.72,12.51,42.88,-183.50
19991022 10:30,-133.43,3.29,40.73,-124.26,12.81,45.12,-181.00
19991022 11:30,-158.44,0.11,46.90,-143.48,6.69,47.90,-172.50
19991022 12:30,-154.53,9.78,49.86,-133.62,16.97,48.24,-154.00
20000406 19:30,-107.53,16.26,62.29,-98.93,19.67,43.82,-161.50
20000407 05:30,-173.33,64.51,58.91,-167.94,60.54,69.92,-196.00
20000407 06:30,-167.87,66.05,56.79,-159.14,56.55,66.95,-189.00
20000407 07:30,-152.18,42.00,57.93,-136.93,36.53,64.73,-171.50
20000407 08:30,-128.80,44.52,59.32,-122.44,39.50,60.04,-161.00
20000407 09:30,-143.06,37.93,64.92,-128.54,33.77,59.42,-164.00
20000407 10:30,-147.11,46.25,71.17,-128.99,41.93,58.37,-162.50
20000407 11:30,-153.28,42.29,67.66,-128.65,44.95,56.77,-159.50
20000407 12:30,-154.35,37.72,66.19,-130.34,43.30,55.47,-154.50
20000716 06:30,-140.48,54.61,58.66,-140.53,42.54,68.96,-186.50
20000716 07:30,-128.93,54.35,53.91,-132.18,40.84,64.94,-176.00
20000716 08:30,-128.21,48.99,57.64,-130.78,39.96,63.17,-169.50
20000716 09:30,-130.13,50.06,65.16,-126.37,45.80,62.19,-161.00
20000716 10:30,-127.56,52.95,65.70,-124.55,47.50,60.95,-152.50
20000812 06:30,-97.35,5.29,24.34,-119.82,21.86,31.21,-155.50
20000812 07:30,-154.99,47.03,31.50,-161.25,67.98,41.81,-199.50
20000812 11:30,-182.44,40.69,62.80,-165.46,49.79,59.16,-184.00
20000812 12:30,-183.27,38.86,71.87,-152.19,49.13,60.66,-168.00
20000812 13:30,-186.77,30.43,76.68,-140.91,23.20,62.31,-160.50
20000812 14:30,-218.00,30.78,73.75,-165.74,20.42,67.03,-156.50
20000812 15:30,-181.28,2.48,73.57,-131.37,-11.13,68.78,-152.50
20000917 22:30,-127.13,109.85,50.68,-134.63,139.86,46.26,-186.00
20000917 23:30,-218.63,108.33,58.77,-221.76,130.03,57.21,-197.00
20000918 00:30,-165.84,94.47,68.20,-144.25,114.87,60.63,-187.50
20000918 01:30,-136.53,75.70,59.56,-126.89,73.90,59.71,-171.00
20000918 02:30,-140.57,59.69,53.69,-129.54,62.05,58.16,-157.00
20001005 05:30,-85.37,53.76,33.79,-109.85,39.71,42.02,-154.00
20001005 06:30,-73.55,-12.48,30.53,-120.13,-2.99,37.07,-170.50
20001005 07:30,-97.42,7.31,26.80,-106.59,17.85,36.15,-164.00
20001005 12:30,-222.28,0.42,41.42,-196.37,-10.37,52.26,-173.50
20001005 13:30,-201.32,-4.66,48.00,-183.79,-9.96,56.50,-172.50
20001005 14:30,-204.38,-21.64,53.92,-180.16,-29.50,60.45,-165.50
20001005 15:30,-214.86,-14.37,65.23,-181.31,3.83,66.69,-158.50
20010401 02:30,-155.38,43.03,65.39,-139.89,58.24,72.66,-199.00
20010401 03:30,-147.13,32.55,63.60,-135.85,44.36,69.48,-187.00
20010401 04:30,-142.21,41.38,62.03,-132.59,51.75,66.28,-173.50
20010401 05:30,-128.76,28.84,58.43,-121.28,29.20,62.73,-163.50
20010401 06:30,-122.53,8.12,53.17,-122.65,19.41,61.01,-161.50
20010401 07:30,-106.63,-8.43,52.48,-109.78,6.09,58.61,-155.00
20010411 20:30,-149.06,-12.97,77.11,-135.18,-10.44,66.04,-176.00
20010412 02:30,-160.89,91.15,70.61,-135.90,94.91,72.55,-198.50
20010412 03:30,-136.69,88.80,67.58,-118.90,79.94,68.62,-178.50
20010412 04:30,-118.15,58.55,56.79,-111.89,48.18,62.69,-167.00
20010412 05:30,-109.37,56.88,48.58,-104.96,44.34,58.11,-163.00
20010412 06:30,-119.68,56.54,46.75,-112.23,47.89,56.20,-158.50
20010412 07:30,-112.83,33.13,49.29,-108.05,26.17,54.26,-151.50
20011003 12:30,-143.78,5.10,52.80,-129.87,-46.46,73.96,-155.00
20011003 13:30,-161.11,24.89,67.23,-146.48,-28.19,81.55,-161.00
20011003 14:30,-180.14,43.90,72.62,-155.67,-14.97,86.61,-158.00
20011003 15:30,-178.18,46.40,72.37,-147.75,-3.52,88.07,-152.00
20011021 20:30,-206.51,59.25,71.79,-192.58,84.52,60.66,-178.50
20011021 21:30,-185.31,46.41,74.60,-166.52,63.57,65.05,-183.50
20011021 22:30,-159.50,31.33,67.41,-150.27,43.87,64.19,-182.00
20011021 23:30,-137.98,82.04,66.93,-174.30,96.55,64.60,-180.50
20011022 00:30,-171.33,130.21,64.88,-172.43,157.08,64.10,-175.00
20011022 01:30,-190.64,75.22,58.38,-170.77,87.21,63.01,-170.50
20011022 02:30,-166.67,50.48,52.31,-152.10,59.48,59.46,-163.00
20011022 03:30,-139.40,37.06,48.14,-133.67,43.95,55.81,-161.00
20011022 04:30,-126.26,30.82,47.00,-121.66,30.17,53.34,-162.00
20011022 05:30,-125.90,20.54,43.10,-119.98,19.51,51.44,-158.00
20011022 06:30,-122.56,15.26,41.69,-111.57,18.39,50.71,-155.50
20011022 19:30,-173.31,27.10,64.08,-161.26,46.37,69.04,-153.00
20011022 20:30,-156.57,34.36,64.72,-144.57,36.45,69.89,-156.50
20011022 21:30,-150.43,42.22,64.45,-136.30,51.77,69.20,-157.00
20011022 22:30,-109.37,33.00,58.32,-117.25,34.10,66.56,-154.50
20011022 23:30,-130.11,60.54,57.81,-118.93,67.45,64.05,-159.50
20011028 10:30,-112.64,30.66,42.62,-101.41,21.07,37.87,-153.00
20011028 11:30,-129.70,29.45,37.12,-119.66,31.18,40.50,-151.50
20011106 02:30,-119.08,-69.35,17.48,-245.61,-74.06,37.83,-185.00
20011106 12:30,-124.31,31.93,51.80,-123.79,35.47,57.71,-191.50
