min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,52.35310544752814,24.879541796423826,25.314773202770205
-300.0,-250.0,34.50402992522875,25.32446360254757,19.909227726073368
-250.0,-200.0,22.139637090712995,13.106432629483372,15.631591057312459
-200.0,-150.0,21.80104286937457,14.907762659098111,12.335223642386557
-150.0,-100.0,15.343857869560281,11.986780293721695,10.53334378698624
-100.0,-50.0,9.69230047227738,8.594951712812541,7.452457529530897
-50.0,0.0,5.0418485362713605,4.90226052300846,6.1917182780051725
0.0,50.0,4.369232678102549,4.788574541641525,6.303871367436589
50.0,inf,3.4775254612056163,4.900590100521908,8.42303785261984

