min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,38.29856263621391,63.2795712569352,36.18191101386692
-300.0,-250.0,33.806248359216085,44.78399951433548,44.06822175615894
-250.0,-200.0,27.742181225508137,30.57752320793682,41.45249952682319
-200.0,-150.0,30.079909121677236,27.597536869129062,24.51753601641862
-150.0,-100.0,25.40032926743154,22.252065319534918,17.18329772503144
-100.0,-50.0,16.720312874677873,13.009078182926395,13.6634199425116
-50.0,0.0,7.557184118952163,8.037400796341043,9.656543548519933
0.0,50.0,6.43963946543528,7.687694443121183,10.161150746301573
50.0,inf,5.360236313198639,7.3220697589927095,15.144471121685152

