date,Bx,By,Bz,Mx,My,Mz,dst
19980504 04:30,-76.13,115.33,-134.79,-122.75,58.52,32.43,-183.50
19980504 05:30,-97.20,48.47,-165.88,-148.77,65.09,32.01,-198.50
19980504 06:30,-150.23,127.74,-100.84,-102.54,89.37,33.22,-188.50
19980504 07:30,-132.48,77.26,-35.76,-110.85,74.35,36.76,-177.50
19980504 08:30,-117.98,29.35,7.44,-109.32,29.08,38.40,-152.50
19980827 08:30,-200.00,-3.69,-18.23,-147.35,8.05,49.21,-151.50
19980925 03:30,-69.16,150.80,-34.17,-60.34,97.67,36.59,-161.00
19980925 04:30,-108.99,52.26,-68.95,-107.67,45.46,39.94,-168.00
19980925 05:30,-139.07,23.96,-62.36,-118.56,26.24,43.78,-167.50
19980925 06:30,-133.64,-56.54,-82.24,-125.81,-43.29,44.90,-185.50
19980925 07:30,-106.17,-50.08,-49.47,-101.35,-24.38,43.08,-199.00
19980925 09:30,-164.88,-1.27,15.33,-126.98,-15.67,57.84,-200.00
19980925 10:30,-151.63,11.47,40.86,-115.10,-3.85,64.76,-182.50
19980925 11:30,-148.03,28.63,75.62,-107.77,35.43,71.83,-159.50
19990922 23:30,-113.77,111.78,17.32,-96.96,99.05,56.29,-164.00
19990923 00:30,-96.88,76.89,10.94,-92.24,69.53,54.77,-154.00
19991022 04:30,-20.34,166.88,-18.57,-54.33,94.18,37.42,-180.00
19991022 08:30,-134.64,8.32,-3.19,-123.87,-0.74,53.10,-195.00
19991022 09:30,-115.23,13.89,24.60,-107.75,11.84,53.32,-183.50
19991022 10:30,-113.33,4.50,36.16,-104.99,10.17,55.53,-181.00
19991022 11:30,-140.76,-6.96,40.95,-117.46,-0.79,58.99,-172.50
19991022 12:30,-127.70,3.44,56.76,-108.16,10.95,59.52,-154.00
20000406 19:30,-40.85,-11.46,82.99,-59.48,8.71,48.96,-161.50
20000407 05:30,-143.61,69.16,68.95,-140.70,62.02,83.19,-196.00
20000407 06:30,-139.39,72.85,58.20,-135.21,57.08,80.04,-189.00
20000407 07:30,-114.08,44.12,58.09,-113.83,35.54,77.12,-171.50
20000407 08:30,-87.33,40.82,53.68,-101.91,38.82,71.77,-161.00
20000407 09:30,-81.76,29.54,55.95,-104.44,32.46,71.01,-164.00
20000407 10:30,-86.94,37.07,68.37,-105.25,41.26,69.92,-162.50
20000407 11:30,-92.73,43.15,77.09,-106.12,44.30,68.31,-159.50
20000407 12:30,-100.25,42.49,80.16,-108.13,42.71,67.10,-154.50
20000716 06:30,-95.51,47.99,70.79,-114.46,39.66,78.91,-186.50
20000716 07:30,-90.24,43.76,64.49,-107.33,37.52,74.75,-176.00
20000716 08:30,-88.35,39.85,62.26,-104.83,36.00,72.74,-169.50
20000716 09:30,-88.39,46.64,70.30,-98.81,41.72,71.62,-161.00
20000716 10:30,-88.30,44.49,77.46,-97.44,44.45,70.23,-152.50
20000812 06:30,-133.26,-23.77,-34.41,-120.29,20.57,39.20,-155.50
20000812 07:30,-185.33,39.62,-40.71,-148.69,67.25,52.05,-199.50
20000812 11:30,-173.57,38.48,41.23,-134.49,41.23,72.31,-184.00
20000812 12:30,-149.87,33.18,68.63,-120.28,42.49,73.69,-168.00
20000812 13:30,-114.17,29.42,98.63,-105.18,18.46,74.88,-160.50
20000812 14:30,-147.19,32.40,118.48,-112.52,11.58,79.82,-156.50
20000812 15:30,-92.99,-2.94,133.31,-89.38,-20.55,80.74,-152.50
20000917 22:30,-123.52,151.66,-32.01,-94.72,146.93,51.52,-186.00
20000917 23:30,-184.29,127.90,-21.40,-163.20,139.18,66.47,-197.00
20000918 00:30,-120.57,112.38,19.35,-99.44,130.73,69.59,-187.50
20000918 01:30,-94.57,91.14,21.71,-94.27,79.48,68.04,-171.00
20000918 02:30,-98.03,66.14,48.43,-93.78,63.70,66.69,-157.00
20001005 05:30,-75.35,48.65,-13.81,-113.42,42.36,52.16,-154.00
20001005 06:30,-112.65,-46.76,-55.78,-146.47,1.24,48.63,-170.50
20001005 07:30,-115.80,3.72,-23.48,-116.18,19.21,47.74,-164.00
20001005 12:30,-197.19,4.30,60.50,-163.27,-32.60,66.53,-173.50
20001005 13:30,-155.50,-10.83,76.91,-156.15,-23.43,72.10,-172.50
20001005 14:30,-130.91,-36.97,94.53,-137.21,-44.57,75.86,-165.50
