min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,44.769584317927276,54.760576147443885,27.53587986609471
-300.0,-250.0,34.39256068255212,38.41229522226476,14.644466014453545
-250.0,-200.0,35.17073312610147,26.259750980704816,20.939145861561897
-200.0,-150.0,23.952578289940966,19.505722303741372,17.669327672962197
-150.0,-100.0,19.988157718368118,16.10006754246065,17.785783619912813
-100.0,-50.0,14.663138231944881,11.586130781204012,12.502460384168057
-50.0,0.0,8.736582884987746,8.092967865379803,6.842809087222846
0.0,50.0,7.57487315532198,7.679715294556475,6.120776002003913
50.0,inf,14.045046227386074,8.512343978012165,12.666332400130207

