date,Bx,By,Bz,Mx,My,Mz,dst
20000406 21:30,-200.58,-20.79,-30.22,-227.76,-2.35,49.64,-261.00
20000406 22:30,-240.73,-38.62,-32.32,-273.62,-40.81,48.71,-278.50
20000406 23:30,-271.91,-34.36,-40.74,-291.65,-84.27,46.69,-279.00
20000407 00:30,-285.56,-59.82,-24.12,-339.72,-108.94,49.59,-269.50
20000715 21:30,-232.23,18.98,-46.18,-306.87,22.85,73.10,-284.50
20000715 22:30,-227.85,23.03,-27.37,-290.12,-22.31,68.17,-280.00
20000715 23:30,-214.21,16.09,-16.10,-257.68,-11.57,60.78,-290.00
20000716 00:30,-242.47,-5.00,1.03,-275.11,-47.02,57.58,-300.00
20000716 01:30,-259.85,-18.38,13.37,-272.18,-41.67,55.19,-289.00
20000716 02:30,-246.44,-11.03,23.10,-246.68,-18.15,55.73,-268.50
20010331 11:30,-275.52,-38.24,52.00,-255.38,-38.37,71.50,-275.50
20010331 12:30,-245.81,-35.01,61.47,-232.95,-34.33,70.35,-254.00
20010331 17:30,-209.69,-7.16,36.67,-212.64,-6.48,59.97,-250.50
20010331 18:30,-175.38,-24.42,50.46,-197.09,-17.59,61.05,-261.50
20010331 19:30,-224.75,-19.12,16.02,-226.68,-32.66,60.79,-262.50
20010331 20:30,-202.60,-21.74,28.70,-207.26,-44.96,59.11,-270.00
20010331 21:30,-242.68,-22.76,-3.55,-231.57,-34.50,58.94,-276.50
20010331 22:30,-257.63,-21.50,-8.82,-235.24,-21.55,59.90,-251.00
20010411 23:30,-220.78,-69.64,-21.62,-264.24,-62.11,46.27,-253.50
20011106 03:30,-256.44,5.74,-70.72,-359.30,-58.28,66.70,-275.00
20011106 04:30,-274.59,-53.78,-11.46,-291.58,-112.16,69.91,-284.50
20011106 05:30,-270.82,-14.27,8.26,-276.14,-69.03,71.55,-290.00
20011106 06:30,-268.05,-10.25,20.42,-256.58,-47.49,68.23,-284.00
20011106 07:30,-240.07,-16.05,32.83,-239.31,-34.83,65.76,-276.00
20011106 08:30,-235.29,-31.53,37.76,-230.92,-36.14,66.26,-267.50
20031029 20:30,-150.03,-108.16,4.30,-188.06,-108.72,53.20,-260.50
20031029 21:30,-246.20,-113.68,-18.29,-215.09,-124.64,55.46,-274.50
20031030 03:30,-297.60,-31.57,41.50,-280.17,-57.27,79.51,-288.00
20031030 04:30,-278.30,-12.04,52.56,-253.75,-26.18,77.83,-258.50
20031030 20:30,-170.49,-148.42,-13.57,-210.69,-154.48,52.36,-278.00
20031031 00:30,-288.52,-41.39,13.45,-326.33,-56.60,75.81,-276.50
20031120 16:30,-220.25,-3.48,0.59,-304.37,25.33,55.96,-279.00
20031121 00:30,-279.10,-86.56,65.23,-265.24,-60.49,72.04,-282.50
20041108 09:30,-340.80,-12.21,42.60,-334.40,-1.66,80.16,-266.50
20041110 07:30,-328.65,-38.07,0.29,-348.60,-38.51,79.12,-258.50
20041110 08:30,-366.01,3.07,-6.10,-377.85,2.76,88.87,-258.00
20041110 09:30,-327.15,39.98,24.26,-333.81,11.49,89.48,-260.50
