min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,44.81247062009551,25.87741493747306,92.23300387521896
-300.0,-250.0,35.48720782083199,27.19094995507622,64.60497282340975
-250.0,-200.0,23.585910330146152,20.70608286945192,45.6011372516527
-200.0,-150.0,21.642111171545594,27.58001402388498,37.037816783868145
-150.0,-100.0,15.716583285128197,28.67329966712769,29.054727940973425
-100.0,-50.0,9.714459493933841,15.277009551738013,19.93812815103985
-50.0,0.0,5.392070205299079,4.696964039798975,10.760929876990678
0.0,50.0,4.931978419917637,4.553364754501423,8.845573334610176
50.0,inf,6.193869280721597,6.512718752990609,10.607832797827587

