min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,49.92725630093377,62.470223237189956,49.62773667845519
-300.0,-250.0,50.84576416313686,54.147329240590324,35.157592194131965
-250.0,-200.0,45.731802768781805,24.543589127130108,31.279617936858852
-200.0,-150.0,33.39438656892384,31.11954800475586,22.775490667094388
-150.0,-100.0,28.06175820827594,31.478923857797575,19.101787929672955
-100.0,-50.0,18.165291649024194,17.33093803776256,14.139902678743093
-50.0,0.0,9.456383939857671,6.790259178982006,11.428682627783363
0.0,50.0,8.238738029204349,6.539052326238211,12.184096826326508
50.0,inf,10.010568026951429,6.372739686438722,22.34647101147442

