date,Bx,By,Bz,Mx,My,Mz,dst
20021002 10:30,-84.53,1.75,45.82,-88.15,11.59,41.44,-121.50
20021002 11:30,-89.39,-1.23,44.51,-86.99,1.98,41.72,-115.00
20021002 12:30,-85.14,-7.64,44.23,-79.94,-11.71,42.16,-109.50
20021002 13:30,-81.03,-19.59,38.06,-75.87,-11.30,42.79,-109.00
20021002 14:30,-80.40,-10.08,39.71,-73.20,0.85,42.22,-107.50
20021002 15:30,-74.77,-9.24,41.42,-67.69,3.95,40.91,-105.00
20021002 16:30,-79.51,-14.18,36.52,-66.95,0.18,40.95,-101.50
20021003 17:30,-102.48,-32.82,19.58,-76.24,-41.50,31.62,-105.00
20021003 18:30,-103.21,-25.62,33.24,-82.53,-30.48,37.02,-114.50
20021003 19:30,-115.60,-12.87,34.42,-92.84,-28.51,41.79,-107.00
20021003 20:30,-128.18,-27.55,32.72,-96.27,-33.25,45.10,-105.50
20021003 21:30,-137.95,-35.36,37.25,-103.32,-33.11,48.58,-111.00
20021003 22:30,-141.02,-19.67,51.89,-99.60,-8.14,48.14,-114.50
20021003 23:30,-138.43,0.84,64.83,-114.99,3.98,51.12,-121.00
20021004 00:30,-147.00,13.71,58.05,-117.81,2.88,56.22,-124.00
20021004 01:30,-157.24,35.14,64.07,-120.50,14.60,57.11,-113.50
20021004 02:30,-75.70,62.54,75.60,-106.38,26.83,49.64,-103.00
20021004 03:30,-108.84,25.09,45.20,-97.71,7.60,47.70,-107.00
20021004 04:30,-124.69,23.17,45.81,-99.21,6.17,46.84,-121.50
20021004 05:30,-134.01,28.70,49.08,-114.38,11.36,46.85,-136.00
20021004 06:30,-113.33,28.06,54.44,-121.47,10.18,48.50,-142.50
20021004 07:30,-78.54,10.17,47.23,-110.36,3.21,46.56,-145.00
20021004 08:30,-97.29,30.00,41.49,-102.91,4.66,44.58,-137.00
20021004 09:30,-66.00,-21.05,34.81,-82.58,-16.70,42.32,-126.00
20021004 10:30,-83.39,7.10,39.68,-81.31,-4.05,40.72,-117.50
20021004 11:30,-65.78,-23.12,38.28,-69.83,-16.02,39.40,-113.00
20021004 12:30,-80.43,-1.39,40.05,-76.46,-5.17,39.57,-109.50
20021007 06:30,-93.18,23.27,38.45,-87.84,6.45,34.75,-109.00
20021007 07:30,-97.16,-17.63,32.19,-83.31,-8.12,37.58,-105.50
20021008 03:30,-120.62,28.34,56.55,-94.70,16.61,48.90,-104.50
20021121 07:30,-108.74,-5.95,26.46,-117.09,-14.78,31.84,-102.50
20021121 08:30,-67.42,-40.59,23.67,-98.93,-19.61,31.77,-111.00
20021121 09:30,-64.35,-10.69,33.85,-92.13,-19.58,32.14,-122.50
20021121 10:30,-63.23,-6.63,30.65,-94.78,-8.99,34.06,-117.00
20030529 22:30,-80.24,-92.14,88.65,-93.42,-48.54,52.21,-130.00
20030529 23:30,-178.36,-40.90,92.17,-141.78,-32.93,62.64,-136.50
20030530 00:30,-152.54,-46.72,83.16,-125.41,-40.52,67.34,-131.00
20030530 01:30,-133.70,9.90,92.63,-147.21,-4.53,71.11,-134.00
20030530 02:30,-121.47,8.68,72.96,-114.98,8.18,66.27,-123.50
20030530 03:30,-103.03,-13.69,76.01,-83.63,-23.46,60.61,-102.50
20030618 07:30,-96.80,28.81,31.14,-118.54,26.63,36.08,-120.50
20030618 08:30,-102.58,41.41,27.94,-119.45,39.06,42.04,-136.50
20030618 09:30,-111.97,44.68,27.76,-111.64,43.71,43.16,-132.00
20030618 10:30,-95.68,27.21,33.08,-79.30,35.78,42.95,-112.00
20030818 06:30,-96.82,7.08,26.65,-114.01,1.99,32.79,-101.50
20030818 07:30,-58.58,-23.38,24.16,-95.41,33.20,32.57,-112.50
20030818 08:30,-78.43,53.04,35.00,-105.16,30.25,31.35,-114.00
20030818 09:30,-73.02,-24.59,11.43,-77.81,-10.01,32.08,-117.00
20030818 10:30,-70.54,20.07,20.11,-103.61,15.86,31.28,-115.50
20030818 11:30,-59.92,-30.72,7.77,-90.14,-25.26,30.06,-113.50
20030818 12:30,-67.60,-60.17,2.46,-87.19,-22.94,31.51,-127.50
20030818 13:30,-84.61,-64.43,5.70,-88.91,-17.58,33.02,-136.50
20030818 14:30,-115.19,-46.82,7.90,-103.65,-40.57,32.00,-143.50
20030818 15:30,-119.10,-44.15,16.58,-111.24,-43.69,33.99,-143.00
20030818 16:30,-139.04,-30.15,21.67,-115.43,-46.25,36.86,-137.50
20030818 17:30,-147.00,-16.58,33.53,-114.73,-57.38,40.16,-137.00
20030818 18:30,-142.81,-14.96,42.47,-116.34,-54.27,41.19,-139.00
20030818 19:30,-144.80,-16.98,48.90,-121.74,-39.95,44.41,-140.50
20030818 20:30,-130.23,-24.99,61.05,-121.64,-39.89,48.82,-137.50
20030818 21:30,-125.17,-22.18,74.39,-111.09,-29.50,53.17,-132.00
20030818 22:30,-126.82,-18.08,80.98,-114.80,-22.15,56.35,-129.00
20030818 23:30,-131.06,-17.29,75.52,-113.03,-10.16,59.44,-122.50
20030819 00:30,-111.73,-3.79,83.95,-100.12,-5.31,58.92,-110.00
20030819 01:30,-127.70,-26.62,63.41,-104.43,-17.29,57.04,-102.50
20031029 07:30,19.78,-167.26,-33.05,-159.65,-110.84,34.77,-117.50
20031029 08:30,-189.72,-56.36,-30.43,-149.58,-40.96,42.68,-140.50
20031029 10:30,-181.38,-26.39,15.07,-145.76,-36.10,45.29,-149.00
20031029 11:30,-172.21,10.99,41.61,-131.86,-33.31,45.36,-129.00
20031029 14:30,-64.23,-0.99,43.69,-64.20,0.96,34.58,-103.00
20031029 15:30,-52.73,-26.25,25.70,-85.03,-12.21,33.45,-115.50
20031029 16:30,-33.45,-58.61,35.78,-69.80,-33.53,35.31,-125.00
20031029 17:30,-89.88,-16.69,18.86,-98.42,-26.57,32.37,-147.50
20031030 13:30,-134.31,-16.50,70.86,-121.51,-42.82,69.76,-143.00
20031030 14:30,-131.87,-28.23,65.29,-114.45,-49.85,70.98,-133.50
20031030 15:30,-125.92,-28.59,65.88,-105.13,-42.36,71.12,-120.00
20031030 16:30,-120.07,10.00,65.66,-93.24,-19.60,69.18,-104.00
20031030 17:30,-203.03,57.09,32.95,-148.94,-29.61,69.35,-104.00
20031030 18:30,-150.62,53.40,49.11,-134.06,14.33,67.95,-126.50
20031031 05:30,-115.82,6.89,94.98,-142.50,-19.16,76.28,-118.50
20031031 06:30,-108.98,-56.07,54.67,-124.30,-13.05,68.57,-109.50
20031031 07:30,-137.83,2.50,63.69,-129.19,-10.29,64.98,-113.00
20031031 08:30,-131.82,-23.78,62.20,-112.21,-21.97,63.05,-111.00
20031031 09:30,-115.46,-21.54,70.62,-101.90,-25.38,61.71,-111.00
20031120 13:30,-113.06,-69.71,-4.81,-104.98,-98.46,37.08,-132.00
20031121 09:30,-112.74,9.69,73.29,-127.27,2.25,64.92,-135.50
20031121 10:30,-115.17,-1.68,66.20,-114.11,-7.31,63.28,-126.00
20031121 11:30,-109.68,-2.36,66.61,-106.74,-10.63,62.84,-120.00
20031121 12:30,-104.71,3.19,67.40,-99.10,-5.40,62.10,-117.50
20031121 13:30,-107.67,-3.20,61.43,-97.05,-10.68,61.34,-113.50
20031121 14:30,-109.72,-6.76,59.72,-93.52,-7.58,60.05,-107.00
20031121 15:30,-114.47,-7.70,58.70,-92.58,-4.88,57.78,-104.50
20031121 16:30,-120.68,-16.20,56.52,-94.19,-11.31,56.18,-104.50
20040122 12:30,-71.57,-64.81,-1.71,-98.83,-50.08,26.66,-111.50
20040122 13:30,-95.88,-65.52,5.19,-107.37,-34.57,30.25,-119.50
20040122 14:30,-81.96,-2.78,28.15,-96.30,-7.49,28.99,-104.00
20040122 15:30,-73.53,-14.84,27.28,-82.19,-19.63,30.05,-102.50
20040122 16:30,-75.91,-29.40,29.04,-74.21,-27.75,32.18,-106.00
20040122 17:30,-71.29,-20.49,40.72,-71.56,-23.60,34.84,-104.00
20040403 23:30,-143.07,-37.52,45.88,-112.80,-23.94,45.96,-110.50
20040404 00:30,-157.67,-25.96,50.75,-120.82,-13.80,51.53,-108.00
20040725 04:30,-89.79,45.76,28.58,-121.07,19.10,20.27,-102.00
20040725 05:30,-61.53,6.75,14.05,-118.19,7.60,18.43,-104.00
20040725 06:30,-77.16,20.16,16.62,-124.08,2.22,18.03,-105.50
20040725 07:30,-68.14,25.69,15.51,-124.56,2.48,18.63,-104.50
20040725 08:30,-38.45,32.88,12.09,-100.08,7.55,20.92,-103.00
20040725 09:30,-24.11,6.63,-0.55,-89.15,2.61,20.54,-109.00
20040725 10:30,-29.49,-44.94,-21.53,-91.01,-21.98,23.59,-121.00
20040725 11:30,-99.66,-56.23,-28.06,-96.49,-30.84,24.42,-124.50
20040725 12:30,-127.78,-51.91,-15.12,-101.42,-31.48,24.28,-116.00
20040725 13:30,-151.22,-44.56,-7.78,-99.91,-26.42,20.28,-109.50
20040725 14:30,-165.19,-75.01,2.34,-97.51,-54.41,22.13,-118.00
20040725 15:30,-187.06,-43.76,11.24,-95.75,-51.75,23.47,-131.00
20040725 16:30,-153.42,-32.97,32.42,-107.04,-43.25,24.85,-129.00
20040725 17:30,-94.15,-28.36,55.50,-96.34,-23.18,27.07,-125.00
20040725 18:30,-149.42,-16.44,21.82,-119.04,-26.80,28.68,-129.00
20040725 19:30,-134.39,-5.36,42.02,-112.14,-21.19,34.18,-126.00
20040725 20:30,-139.32,0.85,46.74,-105.63,-6.51,36.72,-120.00
20040725 21:30,-123.56,-3.55,52.46,-99.57,0.85,39.51,-107.00
20040727 05:30,-72.13,23.33,46.24,-94.63,-10.51,37.86,-107.00
20040727 06:30,-40.85,-51.16,11.75,-121.02,-2.33,34.99,-130.00
20040727 07:30,-71.99,-38.92,13.49,-122.30,-22.01,33.54,-134.00
20040727 08:30,-68.52,-76.33,-4.87,-125.14,-42.39,32.37,-125.50
20040727 09:30,7.95,-75.94,19.01,-97.51,-56.24,33.56,-135.50
20040727 10:30,-59.18,-96.92,-24.25,-131.73,-70.34,34.79,-149.00
20040727 11:30,-112.21,-110.42,-31.33,-127.79,-79.23,36.32,-144.50
20040727 14:30,-216.80,-48.32,-1.23,-119.32,-71.52,31.08,-148.00
20040727 15:30,-198.60,-39.55,10.18,-123.24,-51.26,31.20,-141.50
20040727 16:30,-150.93,2.62,39.21,-112.37,-15.46,35.22,-139.50
20040727 17:30,-146.96,2.17,43.31,-122.94,-15.63,36.58,-137.00
20040727 18:30,-149.91,4.72,41.38,-122.49,-10.04,36.75,-127.50
20040727 19:30,-158.79,2.13,39.10,-107.78,-5.99,36.01,-122.50
20040727 20:30,-138.47,-2.32,49.78,-107.62,-4.82,35.76,-122.00
20040727 21:30,-127.81,-5.05,57.76,-107.34,-9.33,39.49,-112.50
20040830 20:30,-105.08,-42.32,27.09,-100.60,-48.00,31.48,-112.00
20040830 21:30,-117.07,-50.01,35.74,-116.07,-45.85,37.93,-123.00
20040830 22:30,-156.71,-45.36,47.10,-126.87,-41.47,47.25,-123.00
20040830 23:30,-149.78,-24.72,63.99,-122.72,-16.10,48.79,-103.50
20041107 23:30,-213.70,8.33,17.42,-157.41,24.83,35.59,-148.00
20041108 15:30,-126.68,-25.76,56.26,-108.72,-14.68,56.33,-147.00
20041108 16:30,-117.81,-21.41,62.03,-103.50,-8.52,55.50,-140.00
20041108 17:30,-108.39,-2.13,69.92,-97.25,-3.84,53.49,-131.50
20041108 18:30,-119.92,22.75,63.97,-99.66,1.99,53.18,-126.50
20041108 19:30,-145.11,26.07,48.98,-114.58,2.80,54.88,-125.00
20041108 20:30,-140.26,22.35,53.39,-124.84,12.91,55.74,-121.50
20041108 21:30,-129.90,26.37,60.30,-116.09,20.89,53.08,-120.00
20041108 22:30,-137.40,6.75,52.90,-117.44,2.25,54.51,-124.00
20041108 23:30,-145.69,-2.54,52.68,-131.55,-7.99,56.88,-126.50
20041109 00:30,-135.28,8.24,59.02,-126.62,3.78,55.80,-128.00
20041109 01:30,-142.56,11.32,52.12,-120.65,9.41,53.49,-129.00
20041109 02:30,-128.40,28.66,61.62,-117.58,5.73,52.09,-125.50
20041109 03:30,-107.10,-2.06,50.59,-110.59,5.98,48.92,-123.50
20041109 04:30,-126.98,9.30,47.81,-106.88,8.65,45.96,-121.50
20041109 05:30,-96.56,-33.79,43.58,-104.28,-11.68,45.44,-117.00
