date,Bx,By,Bz,Mx,My,Mz,dst
19980504 04:30,-274.16,-28.57,-37.76,-240.23,-24.36,-65.02,-183.50
19980504 05:30,-331.33,-29.66,-51.77,-300.14,-32.04,-79.03,-198.50
19980504 06:30,-241.40,17.81,-48.71,-232.67,17.68,-78.57,-188.50
19980504 07:30,-206.30,3.44,-49.75,-189.23,0.95,-71.79,-177.50
19980504 08:30,-175.99,5.87,-47.49,-162.65,-11.19,-67.17,-152.50
19980827 08:30,-217.10,-35.26,-51.27,-173.36,-28.81,-58.33,-151.50
19980925 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-161.00
19980925 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-168.00
19980925 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-167.50
19980925 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-185.50
19980925 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-199.00
19980925 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-200.00
19980925 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-182.50
19980925 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-159.50
19990922 23:30,-134.00,6.56,-20.85,-164.70,-11.70,-33.04,-164.00
19990923 00:30,-112.86,2.97,-20.82,-158.21,-5.45,-35.50,-154.00
19991022 04:30,-194.51,2.54,-31.25,-182.13,61.41,-46.34,-180.00
19991022 08:30,-209.24,26.18,-48.76,-201.07,25.49,-74.43,-195.00
19991022 09:30,-166.07,6.09,-45.65,-173.34,3.58,-68.86,-183.50
19991022 10:30,-171.11,5.36,-46.80,-175.80,-2.17,-68.50,-181.00
19991022 11:30,-180.19,-19.70,-48.74,-178.78,-25.69,-68.71,-172.50
19991022 12:30,-163.97,-19.85,-47.26,-166.40,-24.46,-67.23,-154.00
20000406 19:30,-117.72,-6.47,-12.61,-145.50,-39.85,-23.63,-161.50
20000407 05:30,-230.43,-39.96,-47.26,-203.91,-22.00,-49.92,-196.00
20000407 06:30,-226.91,-42.56,-43.69,-204.75,-29.40,-51.80,-189.00
20000407 07:30,-195.43,-28.91,-38.31,-190.05,-20.48,-52.98,-171.50
20000407 08:30,-164.95,-21.06,-35.60,-165.61,-14.82,-50.54,-161.00
20000407 09:30,-160.39,-19.61,-34.08,-165.04,-24.69,-50.18,-164.00
20000407 10:30,-155.80,-16.43,-33.71,-160.30,-26.30,-48.62,-162.50
20000407 11:30,-150.00,-17.37,-33.74,-156.38,-22.82,-46.93,-159.50
20000407 12:30,-146.21,-18.91,-33.75,-153.01,-20.57,-45.30,-154.50
20000716 06:30,-162.28,-36.23,-42.43,-189.59,-21.61,-52.24,-186.50
20000716 07:30,-164.53,-27.23,-40.12,-180.89,-25.12,-51.14,-176.00
20000716 08:30,-168.92,-22.31,-36.89,-177.23,-27.39,-51.17,-169.50
20000716 09:30,-165.78,-14.42,-33.44,-165.99,-23.99,-50.18,-161.00
20000716 10:30,-160.27,-13.95,-32.55,-157.97,-23.33,-48.42,-152.50
20000812 06:30,-144.49,54.12,-32.06,-155.84,-11.48,-46.63,-155.50
20000812 07:30,-219.07,21.90,-46.06,-213.25,-3.54,-60.45,-199.50
20000812 11:30,-228.85,-9.38,-61.62,-193.10,-30.25,-76.98,-184.00
20000812 12:30,-214.59,-30.90,-62.66,-175.79,-23.98,-75.17,-168.00
20000812 13:30,-175.74,-23.85,-58.10,-155.26,-12.66,-68.83,-160.50
20000812 14:30,-184.57,-87.87,-54.96,-154.39,-75.95,-65.57,-156.50
20000812 15:30,-180.90,-76.84,-53.55,-165.24,-71.60,-62.21,-152.50
20000917 22:30,-131.12,41.39,-22.23,-147.27,-0.34,-30.13,-186.00
20000917 23:30,-133.04,-1.39,-14.33,-171.69,-32.08,-32.28,-197.00
20000918 00:30,-139.71,29.88,-11.49,-162.96,5.60,-30.78,-187.50
20000918 01:30,-115.65,14.62,-23.00,-164.69,-10.33,-32.98,-171.00
20000918 02:30,-126.01,1.27,-38.18,-145.03,-13.80,-32.21,-157.00
20001005 05:30,-174.27,-15.83,-61.73,-164.33,1.49,-46.08,-154.00
20001005 06:30,-201.55,12.68,-66.09,-209.31,27.51,-58.01,-170.50
20001005 07:30,-219.24,-0.18,-49.27,-193.77,6.35,-67.71,-164.00
20001005 12:30,-248.30,-71.41,-62.46,-194.50,-68.32,-66.11,-173.50
20001005 13:30,-222.05,-61.42,-60.15,-211.01,-47.74,-67.85,-172.50
20001005 14:30,-172.36,-96.83,-52.37,-190.76,-66.58,-64.99,-165.50
20001005 15:30,-167.93,-77.52,-49.92,-167.29,-73.67,-62.57,-158.50
20010401 02:30,-194.39,-12.89,-49.74,-187.73,-26.49,-52.74,-199.00
20010401 03:30,-196.24,-28.39,-54.17,-184.39,-26.77,-51.20,-187.00
20010401 04:30,-187.60,-42.72,-52.73,-177.92,-26.84,-50.81,-173.50
20010401 05:30,-176.43,-25.33,-49.26,-165.48,-25.72,-49.82,-163.50
20010401 06:30,-185.90,-23.83,-50.01,-166.56,-16.93,-54.95,-161.50
20010401 07:30,-182.85,-10.75,-47.69,-172.05,-6.92,-58.08,-155.00
20010411 20:30,-120.36,2.69,-17.62,-154.96,-26.80,-32.75,-176.00
20010412 02:30,-166.38,-16.14,-42.60,-189.70,-29.21,-54.90,-198.50
20010412 03:30,-175.58,-41.83,-54.63,-178.47,-37.10,-54.12,-178.50
20010412 04:30,-174.24,-53.81,-59.74,-175.57,-22.64,-53.27,-167.00
20010412 05:30,-169.70,-52.76,-53.70,-168.89,-13.86,-52.69,-163.00
20010412 06:30,-172.91,-49.20,-46.05,-163.56,-24.85,-52.68,-158.50
20010412 07:30,-176.01,-34.76,-42.38,-163.26,-35.56,-53.11,-151.50
20011003 12:30,-177.24,-64.50,-44.28,-213.83,-76.02,-9.51,-155.00
20011003 13:30,-189.95,-65.35,-45.93,-206.38,-65.89,-14.21,-161.00
20011003 14:30,-179.28,-69.72,-45.16,-201.89,-58.40,-15.75,-158.00
