min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,36.64325937593855,36.07025090015316,37.683185191194305
-300.0,-250.0,30.547471165296066,36.219025760324186,25.213103253579785
-250.0,-200.0,31.945200068357803,30.06692069983839,17.204843579428225
-200.0,-150.0,20.30664845202592,20.256748181161754,14.519958085769394
-150.0,-100.0,19.611514882135502,15.068589770950206,11.565591088319794
-100.0,-50.0,14.422089815104956,10.519015453963767,8.528290290865026
-50.0,0.0,8.211659659599068,6.540122271039233,5.379840824313296
0.0,50.0,7.290560502566471,5.978197519112391,4.856721531270594
50.0,inf,9.491117484843981,6.039768667387483,4.951933965634033

