date,Bx,By,Bz,Mx,My,Mz,dst
20000406 21:30,-223.83,35.42,-21.12,-225.88,-33.98,-38.51,-261.00
20000406 22:30,-227.30,9.01,-21.54,-245.82,-45.68,-47.77,-278.50
20000406 23:30,-262.59,-20.43,-20.89,-237.20,-23.56,-52.38,-279.00
20000407 00:30,-255.35,-16.92,-30.04,-296.90,-8.98,-61.98,-269.50
20000715 21:30,-279.83,5.39,-7.09,-354.11,-19.83,-40.27,-284.50
20000715 22:30,-312.83,-17.95,-4.90,-280.75,-16.59,-44.90,-280.00
20000715 23:30,-275.06,2.55,3.19,-265.70,-28.48,-46.17,-290.00
20000716 00:30,-258.05,3.96,-3.02,-258.06,-11.11,-49.28,-300.00
20000716 01:30,-241.04,3.33,-17.68,-250.12,-11.18,-52.76,-289.00
20000716 02:30,-213.25,-4.45,-30.01,-236.61,-16.00,-54.12,-268.50
20010331 11:30,-257.16,-20.35,-62.83,-264.42,-8.60,-74.57,-275.50
20010331 12:30,-235.28,-17.59,-60.88,-241.52,-7.90,-70.23,-254.00
20010331 17:30,-211.16,-93.19,-45.83,-216.89,-83.68,-57.44,-250.50
20010331 18:30,-165.75,-79.41,-31.15,-216.87,-85.98,-50.53,-261.50
20010331 19:30,-229.33,-90.10,-33.95,-253.68,-74.53,-49.63,-262.50
20010331 20:30,-177.13,-38.07,-23.38,-221.94,-42.53,-47.83,-270.00
20010331 21:30,-235.64,-28.76,-25.21,-249.57,-25.42,-48.55,-276.50
20010331 22:30,-240.38,-30.27,-25.45,-236.64,-4.43,-53.11,-251.00
20010411 23:30,-219.56,14.28,-15.66,-227.11,-42.63,-45.74,-253.50
20011106 03:30,-288.60,-19.02,-46.49,-250.56,42.61,-54.02,-275.00
20011106 04:30,-289.89,-22.06,-50.43,-294.12,36.63,-65.47,-284.50
20011106 05:30,-232.16,5.58,-56.25,-272.29,37.24,-69.20,-290.00
20011106 06:30,-225.15,-0.67,-61.90,-237.74,19.59,-67.79,-284.00
20011106 07:30,-219.19,-18.07,-61.51,-222.99,14.86,-65.32,-276.00
20011106 08:30,-222.19,-15.45,-52.53,-229.95,6.00,-63.73,-267.50
20031029 20:30,-105.34,-33.97,-19.68,-208.98,-96.76,-33.92,-260.50
20031029 21:30,-203.26,-12.90,-14.79,-221.84,-109.52,-34.91,-274.50
20031030 03:30,-313.71,0.22,-59.03,-292.10,8.11,-81.95,-288.00
20031030 04:30,-262.31,-32.11,-76.76,-263.64,-26.53,-76.60,-258.50
20031030 20:30,-157.13,-12.53,-26.83,-207.34,-101.65,-40.72,-278.00
20031031 00:30,-269.83,-43.39,3.05,-285.26,-29.13,-62.05,-276.50
20031120 16:30,-193.67,-121.24,-59.16,-176.99,-116.24,-59.71,-279.00
20031121 00:30,-302.73,-14.86,-31.74,-293.33,-54.06,-65.55,-282.50
20041108 09:30,-285.26,-12.78,-81.25,-259.34,-24.31,-94.16,-266.50
20041110 07:30,-281.77,-8.64,-95.62,-280.80,0.04,-91.28,-258.50
20041110 08:30,-294.29,-54.96,-102.99,-279.21,-39.18,-98.42,-258.00
20041110 09:30,-242.21,-61.52,-87.45,-234.96,-75.79,-97.28,-260.50
