min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,63.495017611923394,54.21509635772054,33.22062415474413
-300.0,-250.0,48.058263260001056,54.885700865156664,23.010619346351863
-250.0,-200.0,43.35106588723421,35.62137108487126,20.06876855181804
-200.0,-150.0,33.237622157228195,25.721069593343916,15.07698097712587
-150.0,-100.0,31.155210522131735,19.59580075575055,12.770052184348689
-100.0,-50.0,30.531353791709897,17.59161232267338,11.627237865154678
-50.0,0.0,34.4851136286941,16.348880185400905,9.228077723625066
0.0,50.0,38.859007911885975,16.385391771543592,8.377881966755561
50.0,inf,21.822891803486236,12.34396613734824,10.988422088725933

