date,Bx,By,Bz,Mx,My,Mz,dst
19970421 22:30,-141.02,-56.25,-13.59,-116.56,-21.21,-12.96,-104.50
19970515 10:30,-153.53,-66.97,-13.69,-134.03,-43.55,-10.34,-108.00
19970515 11:30,-133.54,-72.58,-18.22,-103.85,-68.99,-7.79,-114.50
19970515 12:30,-120.59,-66.44,-13.57,-64.27,-60.56,-8.25,-113.00
19970515 13:30,-107.69,-67.03,-14.30,-60.90,-57.32,-5.59,-111.00
19970515 14:30,-112.09,-57.12,-4.15,-59.77,-49.49,-4.74,-109.00
19970515 15:30,-133.16,-43.21,3.55,-83.37,-20.76,-5.11,-101.00
19971011 00:30,-148.12,-33.83,-9.45,-154.16,7.87,-14.92,-112.50
19971011 01:30,-166.26,-28.43,-2.65,-167.91,4.17,-18.58,-120.50
19971011 02:30,-183.62,-32.11,-3.24,-174.75,-3.57,-21.64,-126.50
19971011 03:30,-198.28,-45.18,-9.15,-177.81,-23.98,-24.77,-122.00
19971011 04:30,-176.25,-64.93,-23.22,-156.92,-25.29,-23.82,-109.50
19971011 05:30,-163.63,-58.94,-19.89,-131.86,-21.33,-23.47,-101.50
19971107 03:30,-183.09,-20.88,-3.35,-161.73,4.90,-23.07,-108.00
19971107 04:30,-179.63,-25.78,-10.06,-149.26,8.29,-26.80,-103.50
19971123 03:30,-195.47,-23.35,-3.57,-168.54,-9.69,-29.74,-101.50
19971123 04:30,-161.61,-43.69,-20.51,-142.24,-27.90,-28.83,-101.00
19971123 05:30,-177.07,-49.65,-13.10,-149.45,-12.84,-29.56,-105.00
19971123 06:30,-176.23,-47.53,-14.76,-145.74,-12.77,-29.59,-106.50
19971123 11:30,-116.26,-50.99,-18.91,-76.58,-24.15,-17.03,-106.50
19971123 12:30,-116.09,-52.30,-16.27,-67.37,-22.95,-14.85,-102.00
19980310 18:30,-130.60,-51.00,-1.35,-100.72,12.76,-9.72,-106.50
19980310 19:30,-130.98,-39.58,3.15,-82.68,1.86,-10.71,-111.50
19980310 20:30,-142.18,-29.78,6.14,-122.99,1.90,-11.74,-115.50
19980310 21:30,-130.93,-26.37,-3.16,-94.63,-10.05,-10.66,-114.50
19980310 22:30,-136.39,-27.73,-4.60,-128.37,-20.51,-13.47,-114.00
19980310 23:30,NaN,NaN,NaN,NaN,NaN,NaN,-110.50
19980311 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-103.00
19980504 03:30,-162.19,-78.17,-17.24,-157.68,-52.90,-26.20,-119.00
19980504 09:30,-171.46,-77.95,-23.45,-140.12,-67.09,-26.36,-130.00
19980504 10:30,-180.78,-72.71,-14.76,-152.95,-48.88,-23.28,-130.50
19980504 11:30,-186.47,-68.92,-13.51,-159.92,-41.70,-22.21,-137.50
19980504 12:30,-177.37,-61.01,-15.31,-131.68,-35.13,-22.73,-125.00
19980504 13:30,-158.62,-50.38,-14.29,-121.02,-17.29,-20.37,-108.00
19980504 14:30,-157.01,-46.84,-10.81,-120.41,-16.20,-18.88,-107.50
19980504 15:30,-149.98,-43.16,-10.19,-110.45,-14.02,-17.90,-113.00
19980504 16:30,-152.06,-40.24,-7.01,-115.39,-15.74,-16.24,-114.50
19980504 17:30,-147.76,-42.06,-8.89,-119.02,-17.55,-15.53,-110.50
19980504 18:30,-146.56,-42.41,-10.98,-113.23,-17.23,-14.83,-107.00
19980504 19:30,-147.46,-42.50,-14.35,-110.74,-14.25,-14.82,-103.50
19980505 03:30,NaN,NaN,NaN,NaN,NaN,NaN,-104.00
19980505 04:30,NaN,NaN,NaN,NaN,NaN,NaN,-116.50
19980505 05:30,NaN,NaN,NaN,NaN,NaN,NaN,-109.50
19980505 06:30,NaN,NaN,NaN,NaN,NaN,NaN,-104.50
19980505 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-106.50
19980505 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-108.00
19980505 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-105.50
19980505 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-103.00
19980505 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-104.50
19980505 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-101.00
19980806 09:30,-150.51,-51.31,-15.36,-96.45,-23.68,-25.50,-101.50
19980806 10:30,-158.21,-77.74,-25.99,-124.97,-59.20,-24.92,-125.00
19980806 11:30,-210.87,-84.55,-17.16,-172.63,-49.29,-23.59,-135.50
19980806 12:30,-167.46,-68.70,-29.14,-127.70,-55.10,-19.90,-128.00
19980806 13:30,-174.76,-65.26,-15.39,-145.03,-58.03,-15.21,-116.50
19980806 14:30,-178.56,-46.14,-8.36,-150.80,-33.60,-14.10,-109.50
19980806 15:30,-172.25,-42.72,-9.08,-142.18,-18.29,-13.27,-110.00
19980806 16:30,-168.24,-39.12,-9.67,-137.98,-12.33,-13.07,-110.50
19980806 17:30,-155.43,-30.52,-8.93,-128.75,-4.87,-14.33,-108.00
19980806 18:30,-143.03,-24.14,-9.09,-118.56,5.95,-16.29,-102.50
19980807 05:30,-196.52,-42.97,-16.22,-148.75,-27.31,-26.60,-102.50
19980827 00:30,NaN,NaN,NaN,NaN,NaN,NaN,-104.50
19980827 01:30,NaN,NaN,NaN,NaN,NaN,NaN,-121.50
19980827 02:30,NaN,NaN,NaN,NaN,NaN,NaN,-136.50
