min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,53.91902325924282,29.77232116735791,19.458081868467918
-300.0,-250.0,39.94023494850694,26.53071895722196,17.217351150660818
-250.0,-200.0,33.781597005269234,19.37134817684818,16.321880383254957
-200.0,-150.0,30.65042359139035,24.76265923648572,18.612632644788572
-150.0,-100.0,18.375165011466056,25.53572417565982,16.994156948294766
-100.0,-50.0,14.153483363489661,14.605831389451017,13.69092116918087
-50.0,0.0,9.094815756209591,5.981435541922094,9.936019080516877
0.0,50.0,8.232686659105829,5.853368750122816,9.34640457212528
50.0,inf,9.684256410392189,5.3591666018763275,11.28518670155212

