date,Bx,By,Bz,Mx,My,Mz,dst
19970110 07:30,NaN,NaN,NaN,NaN,NaN,NaN,-52.50
19970110 08:30,NaN,NaN,NaN,NaN,NaN,NaN,-71.00
19970110 09:30,NaN,NaN,NaN,NaN,NaN,NaN,-75.50
19970110 10:30,NaN,NaN,NaN,NaN,NaN,NaN,-65.50
19970110 11:30,NaN,NaN,NaN,NaN,NaN,NaN,-59.00
19970110 12:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-62.00
19970110 14:30,NaN,NaN,NaN,NaN,NaN,NaN,-61.00
19970110 15:30,NaN,NaN,NaN,NaN,NaN,NaN,-60.50
19970110 16:30,NaN,NaN,NaN,NaN,NaN,NaN,-56.50
19970110 17:30,NaN,NaN,NaN,NaN,NaN,NaN,-51.00
19970209 18:30,-27.92,-3.76,-1.18,-17.72,5.07,3.17,-51.50
19970209 19:30,-15.29,-3.02,-1.48,0.04,5.69,2.76,-55.00
19970209 20:30,-17.79,-8.50,-0.06,-17.48,4.81,2.14,-56.00
19970209 21:30,-42.34,-21.07,0.77,-39.57,-10.60,1.63,-51.00
19970210 05:30,-51.17,0.92,-0.69,-68.19,6.42,9.39,-51.50
19970210 06:30,-72.99,0.30,-1.63,-90.75,3.39,8.82,-55.50
19970210 07:30,-79.18,-1.46,-0.07,-83.30,-2.25,7.68,-58.50
19970210 08:30,-81.02,-3.98,0.57,-85.29,-4.80,6.77,-61.50
19970210 09:30,-86.79,-0.97,-0.75,-98.23,-1.08,6.14,-65.50
19970210 10:30,-87.16,-2.25,-1.80,-97.75,-2.33,5.54,-68.00
19970210 11:30,-84.76,-3.51,-2.40,-92.63,-0.89,4.88,-66.50
19970210 12:30,-80.11,-3.63,-2.67,-87.24,2.06,4.04,-63.00
19970210 13:30,-71.23,-5.59,-1.97,-75.48,0.51,3.74,-60.50
19970210 14:30,-60.91,-7.86,-1.49,-63.11,0.63,2.91,-60.00
19970210 15:30,-54.30,-9.64,-2.09,-56.84,1.00,2.07,-59.50
19970210 16:30,-45.16,-8.94,-2.46,-48.11,4.50,1.64,-59.00
19970210 17:30,-36.12,-8.47,-2.39,-38.53,4.14,1.58,-59.00
19970210 18:30,-26.72,-9.88,-1.37,-23.87,0.68,1.69,-56.00
19970210 19:30,-14.19,-8.16,-0.67,-14.51,5.68,1.51,-52.50
19970211 08:30,-63.28,3.87,-0.70,-74.64,3.59,5.98,-54.50
19970211 09:30,-74.85,0.42,-0.99,-89.12,0.36,5.81,-60.00
19970211 10:30,-77.03,-4.04,-0.03,-91.31,-7.29,5.89,-54.50
19970217 07:30,-70.15,-7.10,1.34,-81.77,-11.92,6.89,-52.50
19970217 08:30,-77.89,-7.35,-0.84,-89.64,-8.94,6.89,-52.00
19970227 22:30,-47.57,-19.99,-1.23,-49.35,-27.46,5.28,-73.50
19970227 23:30,-72.19,-25.73,-3.83,-40.84,-32.17,4.47,-81.00
19970228 00:30,-80.91,-14.20,-1.08,-53.73,-11.04,7.70,-70.00
19970228 01:30,-64.53,-8.63,1.27,-44.40,-10.30,8.80,-65.50
19970228 02:30,-68.91,-2.00,5.25,-71.47,-7.38,10.36,-65.50
19970228 03:30,-58.04,0.66,3.34,-63.92,0.29,10.39,-63.50
19970228 04:30,-53.96,-0.85,2.61,-67.56,-3.69,10.34,-64.00
19970228 05:30,-80.76,0.88,-2.31,-119.11,-11.28,10.88,-60.50
19970228 06:30,-68.99,4.09,-7.24,-90.41,-0.34,9.55,-55.00
19970228 07:30,-73.16,-5.18,-5.33,-84.04,-2.81,9.07,-54.00
19970228 08:30,-67.58,-4.64,-4.24,-73.06,-2.13,8.61,-54.50
19970228 09:30,-59.98,-5.59,-2.31,-68.61,1.69,8.13,-54.50
19970228 10:30,-53.24,-7.23,-1.30,-61.27,1.70,8.00,-54.50
19970228 11:30,-61.99,-9.99,0.11,-69.71,-3.95,7.87,-55.00
19970228 12:30,-66.40,-11.43,-1.11,-72.79,-5.61,8.29,-50.50
19970228 17:30,-44.60,-7.31,-1.93,-40.56,-5.01,6.88,-54.00
19970228 18:30,-41.29,-6.90,-0.88,-44.25,-4.56,6.89,-51.50
19970328 21:30,-38.94,-15.49,3.45,-32.80,-2.39,6.64,-54.00
19970328 22:30,-49.73,-10.92,6.82,-35.83,-5.21,6.43,-60.50
19970328 23:30,-52.50,-6.41,7.30,-36.42,-4.58,6.05,-62.50
19970329 00:30,-52.02,-3.21,8.16,-42.22,-7.42,5.54,-59.00
19970329 01:30,-50.27,-3.88,9.36,-47.56,-10.37,5.44,-53.00
19970411 01:30,-60.08,-2.30,5.36,-44.02,-9.63,3.31,-67.50
19970411 02:30,-77.89,-12.78,4.13,-63.44,-18.33,3.23,-73.50
