date,Bx,By,Bz,Mx,My,Mz,dst
19970421 22:30,-148.56,10.44,14.91,-144.26,29.54,-0.78,-104.50
19970515 10:30,-81.55,30.96,14.68,-72.30,32.16,5.13,-108.00
19970515 11:30,-103.26,33.04,9.64,-125.94,67.63,3.63,-114.50
19970515 12:30,-117.65,23.72,5.41,-156.72,64.18,2.17,-113.00
19970515 13:30,-132.94,26.64,5.89,-168.98,70.69,-1.49,-111.00
19970515 14:30,-140.41,12.50,4.37,-165.26,55.69,-3.84,-109.00
19970515 15:30,-134.86,3.70,5.69,-136.39,31.44,-6.07,-101.00
19971011 00:30,-143.14,10.58,7.91,-139.91,31.81,0.06,-112.50
19971011 01:30,-141.66,4.92,7.47,-121.53,19.44,1.20,-120.50
19971011 02:30,-120.44,6.62,7.13,-87.99,3.99,3.55,-126.50
19971011 03:30,-105.51,7.18,8.74,-86.32,6.62,6.95,-122.00
19971011 04:30,-74.11,7.02,9.00,-56.50,3.32,9.12,-109.50
19971011 05:30,-75.27,-0.44,10.02,-62.20,6.50,10.93,-101.50
19971107 03:30,-86.68,-18.42,9.78,-51.98,-39.13,2.29,-108.00
19971107 04:30,-89.93,-29.72,10.07,-63.99,-43.35,4.09,-103.50
19971123 03:30,-113.82,-6.14,9.06,-93.52,10.20,8.60,-101.50
19971123 04:30,-90.95,1.56,8.41,-73.50,16.00,8.81,-101.00
19971123 05:30,-84.39,-5.24,8.75,-72.04,-9.01,9.13,-105.00
19971123 06:30,-86.34,-2.41,10.47,-79.72,-12.85,9.33,-106.50
19971123 11:30,-117.22,2.48,7.39,-104.24,29.17,5.96,-106.50
19971123 12:30,-140.97,3.13,5.45,-118.90,40.01,4.11,-102.00
19980310 18:30,-171.02,3.10,9.92,-169.11,47.54,-0.11,-106.50
19980310 19:30,-169.99,14.81,9.64,-178.92,51.81,-2.65,-111.50
19980310 20:30,-170.87,18.63,9.93,-178.11,48.32,-3.26,-115.50
19980310 21:30,-163.21,25.89,9.68,-167.29,47.37,-5.00,-114.50
19980310 22:30,-132.07,14.13,7.07,-117.20,32.28,-0.58,-114.00
19980310 23:30,-111.18,15.59,7.30,-103.67,16.16,4.21,-110.50
19980311 00:30,-115.67,12.08,7.93,-112.35,26.05,3.22,-103.00
19980504 03:30,-27.51,29.82,14.98,23.70,7.42,20.22,-119.00
19980504 09:30,-91.36,29.17,13.43,-135.27,55.25,7.37,-130.00
19980504 10:30,-79.50,34.81,17.06,-115.81,36.12,3.08,-130.50
19980504 11:30,-106.33,36.32,19.88,-137.92,36.45,0.75,-137.50
19980504 12:30,-153.19,26.41,15.42,-167.72,39.09,0.70,-125.00
19980504 13:30,-139.32,10.01,7.87,-130.84,25.92,0.72,-108.00
19980504 14:30,-137.90,3.15,4.81,-122.70,27.54,1.27,-107.50
19980504 15:30,-136.28,-0.26,3.12,-127.92,23.46,2.07,-113.00
19980504 16:30,-135.30,4.75,5.58,-136.47,27.75,2.45,-114.50
19980504 17:30,-131.61,9.98,9.21,-128.49,23.22,2.65,-110.50
19980504 18:30,-123.67,9.19,10.01,-116.41,17.69,2.12,-107.00
19980504 19:30,-116.14,1.95,9.46,-106.26,11.41,1.84,-103.50
19980505 03:30,-91.20,10.75,10.18,-48.67,16.61,8.04,-104.00
19980505 04:30,-95.40,23.70,12.58,-60.01,30.90,11.00,-116.50
19980505 05:30,-91.22,20.10,14.49,-73.88,38.76,14.31,-109.50
19980505 06:30,-100.47,17.29,15.28,-92.20,32.80,11.06,-104.50
19980505 07:30,-100.41,29.49,17.39,-106.91,29.42,8.49,-106.50
19980505 08:30,-96.70,30.27,13.76,-112.48,31.58,6.55,-108.00
19980505 09:30,-96.43,16.77,10.70,-115.93,30.12,3.96,-105.50
19980505 10:30,-97.80,5.14,11.28,-119.65,26.86,1.71,-103.00
19980505 15:30,-146.97,-20.99,7.28,-148.22,18.46,3.17,-104.50
19980505 16:30,-129.25,-14.28,11.86,-113.44,20.17,3.68,-101.00
19980806 09:30,-98.30,17.65,22.80,-104.28,52.49,11.89,-101.50
19980806 10:30,-115.88,42.99,19.76,-127.47,62.79,9.05,-125.00
19980806 11:30,-151.76,38.13,14.87,-148.07,35.15,7.17,-135.50
19980806 12:30,-163.41,28.54,10.13,-166.20,47.37,6.41,-128.00
19980806 13:30,-153.93,10.80,13.47,-137.99,40.27,4.05,-116.50
19980806 14:30,-136.33,-4.89,12.58,-111.00,23.56,2.17,-109.50
19980806 15:30,-126.64,-7.10,11.93,-110.72,19.17,0.87,-110.00
19980806 16:30,-124.12,-9.40,9.86,-120.70,15.09,-0.18,-110.50
19980806 17:30,-117.05,-12.68,10.50,-121.89,9.40,-0.26,-108.00
19980806 18:30,-116.96,-10.67,10.51,-120.58,5.90,0.77,-102.50
19980807 05:30,-97.82,1.05,11.07,-70.09,2.19,9.60,-102.50
19980827 00:30,-123.78,-0.98,11.00,-85.31,12.62,4.15,-104.50
19980827 01:30,-126.76,4.74,10.74,-107.67,19.35,2.30,-121.50
19980827 02:30,-123.34,-7.66,9.62,-77.03,-0.03,10.65,-136.50
19980827 03:30,-132.76,-5.81,11.30,-84.43,-6.64,9.59,-139.00
19980827 04:30,-116.14,-6.31,10.55,-84.08,-8.56,10.07,-134.00
19980827 05:30,-110.19,-2.05,9.41,-79.49,-11.66,11.18,-130.50
19980827 06:30,-125.17,0.40,10.31,-109.17,18.38,11.03,-128.00
19980827 07:30,-109.22,13.61,10.68,-106.41,48.49,10.60,-137.50
19980827 09:30,-135.77,62.53,23.75,-159.66,68.96,7.83,-147.00
19980827 10:30,-141.72,73.83,19.90,-175.75,84.19,5.61,-130.50
19980827 11:30,-150.45,68.38,15.32,-192.19,67.87,2.30,-130.50
19980827 12:30,-167.65,50.91,11.31,-203.75,75.11,1.62,-141.00
19980827 13:30,-188.20,28.95,7.03,-218.15,56.03,0.61,-144.00
19980827 14:30,-206.36,17.68,4.91,-232.85,48.62,0.11,-141.50
19980827 15:30,-200.26,19.50,3.88,-226.81,31.17,0.52,-136.00
19980827 16:30,-191.79,19.70,-0.08,-210.52,36.59,1.96,-133.50
19980827 17:30,-177.77,20.08,-0.76,-194.44,36.95,2.05,-133.50
19980827 18:30,-181.85,21.24,3.88,-199.12,38.44,0.61,-131.00
19980827 19:30,-171.85,22.77,5.18,-168.21,31.63,2.77,-126.00
19980827 20:30,-162.39,24.30,4.84,-143.53,26.63,3.54,-117.50
19980827 21:30,-143.38,13.25,4.87,-123.72,13.50,4.62,-109.50
19980827 22:30,-150.90,12.71,6.39,-138.31,21.48,3.86,-102.00
19980925 02:30,-104.30,17.14,15.20,-90.27,52.13,10.57,-118.50
19980925 12:30,-158.04,64.08,5.52,-234.26,94.55,5.75,-140.50
19980925 13:30,-150.03,36.50,-0.22,-199.63,79.35,2.35,-129.00
19980925 14:30,-150.46,12.23,-5.27,-194.86,63.62,1.44,-122.50
19980925 15:30,-157.87,-1.32,-4.36,-178.24,63.41,-0.41,-109.50
19981019 11:30,-108.81,2.73,12.54,-101.50,34.06,3.68,-105.00
19981019 12:30,-132.17,9.68,9.74,-120.61,45.67,3.11,-103.00
19981019 14:30,-168.67,17.95,-1.45,-177.76,62.69,-2.86,-105.00
19981019 15:30,-178.75,11.02,-7.05,-175.43,69.84,-4.95,-111.00
19981019 16:30,-161.99,8.63,-9.68,-159.31,61.48,-6.95,-106.50
19981108 03:30,-87.18,-11.24,10.58,-56.13,-21.15,5.97,-102.50
19981108 04:30,-75.51,-26.00,8.88,-29.49,-41.35,8.16,-124.50
19981108 05:30,-87.81,-42.57,9.24,-47.50,-54.27,10.82,-144.50
19981108 06:30,-92.51,-25.93,11.99,-63.58,-22.77,17.17,-134.50
19981108 07:30,-104.67,-20.05,13.44,-89.71,0.92,18.83,-114.50
19981108 08:30,-92.34,-0.61,10.89,-79.05,11.17,15.75,-106.50
19981108 09:30,-85.94,-3.55,8.98,-73.96,4.89,12.78,-101.00
19981109 06:30,-76.55,-25.21,12.42,-43.35,-34.22,6.26,-105.50
19981109 07:30,-86.81,-6.98,13.94,-67.47,-10.46,7.56,-115.50
19981109 08:30,-108.54,8.86,12.54,-102.09,8.09,7.48,-125.00
19981109 09:30,-124.23,20.20,10.73,-132.96,47.00,8.24,-121.00
19981109 10:30,-119.64,22.21,9.77,-146.84,61.09,4.49,-119.50
19981109 11:30,-123.24,19.78,8.96,-137.09,70.44,2.10,-130.50
19981109 12:30,-143.29,18.17,7.63,-140.32,60.77,2.25,-128.50
19981109 13:30,-150.28,16.42,6.38,-161.94,74.96,-0.47,-119.00
19981109 14:30,-163.60,19.92,6.14,-169.47,68.64,-3.64,-125.00
19981109 15:30,-167.79,16.57,3.80,-162.99,51.61,-4.86,-134.50
19981109 16:30,-183.74,19.70,3.45,-193.42,51.15,-6.86,-139.50
19981109 17:30,-198.87,22.68,5.11,-209.24,59.33,-8.11,-142.00
19981109 18:30,-201.54,20.87,5.39,-201.12,41.80,-9.35,-134.50
19981109 19:30,-192.65,12.43,4.13,-191.43,28.47,-9.78,-118.50
19981109 20:30,-166.99,1.61,2.59,-164.69,25.52,-6.41,-106.50
19981109 21:30,-141.70,5.49,4.10,-137.47,24.70,-3.27,-105.50
19981109 22:30,-150.42,12.21,6.48,-144.78,31.62,-2.23,-106.00
19981113 12:30,-125.84,26.73,-2.62,-106.49,64.03,4.74,-101.00
19981113 13:30,-147.64,22.08,-5.45,-129.56,62.51,4.16,-119.00
19981113 14:30,-161.93,16.34,-5.53,-147.69,66.63,2.26,-117.00
19981113 15:30,-170.17,26.23,-0.96,-168.90,69.14,-1.81,-113.50
19981113 16:30,-182.85,31.26,1.48,-183.77,76.74,-5.27,-121.00
19981113 17:30,-195.53,24.10,3.92,-190.01,59.37,-7.67,-126.50
19981113 18:30,-205.12,23.24,5.00,-214.14,44.95,-10.82,-123.00
19981113 19:30,-205.50,13.79,4.57,-222.33,56.03,-11.42,-122.50
19981113 20:30,-203.75,12.93,3.96,-219.16,43.52,-11.65,-129.00
19981113 21:30,-195.28,13.70,4.33,-199.64,34.31,-10.26,-122.00
19981113 22:30,-163.84,6.35,3.57,-167.53,28.87,-3.56,-109.50
19981113 23:30,-147.84,10.33,2.83,-147.36,31.13,-2.18,-104.50
19981114 00:30,-143.89,12.00,4.03,-139.46,33.96,-2.93,-103.00
19981114 01:30,-135.17,17.08,5.49,-138.91,40.38,1.36,-104.00
19981114 02:30,-118.78,19.66,6.15,-123.09,36.50,4.65,-107.00
19981114 03:30,-113.62,20.94,7.77,-108.94,30.61,6.33,-107.00
19981114 04:30,-104.84,9.40,8.14,-103.86,30.71,5.66,-102.50
19990113 19:30,-185.35,28.99,11.91,-199.73,74.13,-12.25,-104.50
19990113 20:30,-189.74,35.95,8.19,-201.40,80.99,-14.59,-106.50
19990113 21:30,-184.74,34.99,4.04,-191.53,68.66,-15.12,-105.50
19990113 22:30,-154.22,19.96,1.03,-144.60,47.09,-7.27,-108.50
19990113 23:30,-150.14,11.89,2.16,-142.33,25.63,-6.69,-106.50
19990218 08:30,-54.50,-7.05,14.41,-29.55,-18.65,9.21,-114.50
19990218 09:30,-90.00,13.23,16.80,-87.09,20.51,12.39,-119.00
19990218 10:30,-102.46,28.54,17.27,-106.17,68.40,10.11,-109.50
19990218 13:30,NaN,NaN,NaN,NaN,NaN,NaN,-105.00
19990218 14:30,-139.23,24.81,17.24,-159.99,79.57,-2.81,-115.00
19990218 15:30,-141.31,3.17,14.77,-143.02,51.25,-5.17,-110.50
19990218 16:30,-133.38,-13.60,14.77,-125.68,39.60,-5.78,-117.50
19990218 17:30,-146.79,-12.41,12.66,-150.29,35.23,-5.49,-117.50
19990218 18:30,-136.30,-9.86,12.85,-128.19,25.25,-3.40,-110.00
19990218 19:30,-142.67,-1.64,12.73,-145.70,29.00,-1.78,-108.50
19990218 20:30,-146.99,3.13,12.98,-148.97,29.76,-0.96,-103.00
19990218 21:30,-126.56,5.39,11.60,-127.95,25.56,1.34,-101.50
19990218 22:30,-145.93,8.10,12.83,-155.00,31.71,-0.61,-104.00
19990218 23:30,-128.32,8.49,12.16,-139.36,28.35,0.10,-101.50
19990219 00:30,-122.65,6.06,12.79,-127.59,26.26,3.54,-103.50
19990219 01:30,-118.36,6.01,13.74,-114.96,22.50,3.08,-103.00
19990922 22:30,-217.00,7.46,17.45,-204.49,64.36,7.89,-150.00
19990923 01:30,-192.73,18.21,8.07,-172.38,28.26,4.09,-146.00
19990923 02:30,-168.11,23.33,8.11,-165.28,34.57,2.84,-140.50
19990923 03:30,-154.10,30.40,7.80,-148.80,35.66,3.02,-140.50
19990923 04:30,-125.23,35.16,6.09,-112.64,37.86,5.77,-133.50
19990923 05:30,-134.36,20.62,8.02,-124.47,47.68,6.38,-120.50
19990923 06:30,-136.26,17.01,11.21,-121.31,44.66,3.62,-107.50
19990923 07:30,-121.62,18.43,11.98,-105.47,35.27,1.57,-104.00
19990923 08:30,-106.66,11.10,11.88,-106.34,27.50,0.60,-105.00
19990923 09:30,-94.64,10.65,10.94,-109.05,24.01,0.34,-102.00
19991022 02:30,-120.17,17.02,9.68,-113.09,48.00,10.77,-102.50
19991022 03:30,-119.72,20.92,10.53,-103.81,38.59,13.22,-132.00
19991022 13:30,-137.14,19.68,17.82,-153.99,39.61,3.59,-132.50
19991022 14:30,-137.48,17.47,16.36,-146.18,40.54,2.20,-118.50
19991022 15:30,-144.18,11.47,10.90,-160.75,45.27,0.64,-114.50
19991022 16:30,-159.23,10.46,11.56,-159.81,49.96,-1.47,-113.50
19991022 17:30,-157.18,16.03,11.40,-147.16,45.39,-3.00,-112.00
19991022 18:30,-159.71,14.61,13.03,-153.10,32.74,-3.83,-106.50
19991113 21:30,-151.44,16.04,6.25,-153.36,27.91,-7.59,-102.00
20000212 10:30,-98.70,30.84,7.87,-95.55,27.87,-3.88,-117.00
20000212 11:30,-150.80,48.72,4.20,-136.70,41.46,-1.79,-122.00
20000212 12:30,-167.47,39.93,0.15,-137.90,53.59,-0.46,-101.00
20000212 14:30,-144.10,-5.60,-6.32,-149.79,38.62,-6.36,-102.00
20000212 15:30,-117.17,-9.65,-3.75,-111.88,42.61,-5.91,-101.50
20000212 16:30,-125.07,-4.99,1.18,-110.56,35.12,-4.82,-108.50
20000212 17:30,-135.90,11.41,5.95,-140.13,53.85,-6.71,-111.50
20000212 18:30,-128.32,14.87,6.94,-123.93,43.00,-6.03,-107.50
20000407 13:30,-162.38,18.69,9.59,-160.16,36.09,-4.11,-145.00
20000407 14:30,-146.19,-7.40,6.55,-141.95,23.07,-4.37,-138.00
20000407 15:30,-138.57,-17.51,5.08,-136.20,15.47,-3.68,-133.00
20000407 16:30,-132.21,-17.28,6.76,-137.54,9.55,-3.12,-132.50
20000407 17:30,-145.02,-5.36,8.75,-147.91,16.61,-0.45,-130.50
20000407 18:30,-145.58,7.80,9.05,-146.98,20.49,1.52,-118.50
20000407 19:30,-136.02,12.38,9.12,-127.52,22.48,2.14,-107.50
20000407 20:30,-127.20,9.43,9.46,-108.73,24.29,4.24,-100.50
20000524 03:30,-96.09,6.42,16.37,-26.56,-9.90,20.84,-116.50
20000524 04:30,-124.41,23.97,19.81,-87.55,28.83,19.70,-128.50
20000524 05:30,-154.58,17.96,18.61,-145.02,42.54,13.11,-125.00
20000524 06:30,-148.62,5.22,15.05,-141.29,39.39,10.09,-125.00
20000524 07:30,-116.81,10.83,15.81,-125.86,44.22,8.49,-138.00
20000524 08:30,-88.43,16.40,16.33,-114.29,40.09,6.88,-144.00
20000524 09:30,-94.06,26.92,16.85,-123.11,46.42,4.20,-125.50
20000524 10:30,-80.64,22.44,13.13,-102.17,51.23,3.91,-106.00
20000524 11:30,-75.71,26.20,8.97,-93.28,45.82,1.43,-105.50
20000524 12:30,-89.81,8.12,3.36,-107.36,37.60,-1.60,-105.50
20000715 19:30,-114.34,-14.09,18.59,-88.11,-40.39,18.16,-128.50
20000716 11:30,-139.97,44.63,-1.82,-160.12,49.94,5.18,-145.00
20000716 12:30,-133.78,33.90,-5.78,-145.28,46.22,4.25,-138.50
20000716 13:30,-136.70,17.93,-7.64,-135.39,40.88,2.79,-136.50
20000716 14:30,-141.37,-0.39,-7.76,-135.44,31.78,2.31,-138.00
20000716 15:30,-133.76,-11.94,-7.51,-134.03,25.75,2.09,-134.50
20000716 16:30,-124.95,-8.38,-4.15,-128.64,17.17,2.50,-128.00
20000716 17:30,-125.56,-7.76,-0.04,-124.51,12.92,3.08,-124.50
20000716 18:30,-132.02,-1.81,3.38,-125.19,13.65,3.73,-123.50
20000716 19:30,-134.06,8.72,7.79,-126.59,17.02,3.76,-121.50
