date,Bx,By,Bz,Mx,My,Mz,dst
19980504 04:30,-96.65,79.81,21.29,-85.46,62.64,23.38,-183.50
19980504 05:30,-97.31,109.36,20.21,-70.77,83.24,23.28,-198.50
19980504 06:30,-140.41,66.72,18.09,-135.15,72.36,25.60,-188.50
19980504 07:30,-149.31,72.90,19.20,-158.66,69.76,18.87,-177.50
19980504 08:30,-131.64,38.33,14.57,-149.20,38.67,12.33,-152.50
19980827 08:30,-106.31,46.71,18.39,-121.87,60.39,8.06,-151.50
19980925 03:30,-158.24,4.15,12.94,-129.20,32.08,15.99,-161.00
19980925 04:30,-170.35,-9.14,11.19,-135.78,7.29,12.52,-168.00
19980925 05:30,-158.48,-18.66,9.15,-138.63,4.51,11.04,-167.50
19980925 06:30,-88.39,-25.11,8.33,-48.41,-35.58,15.98,-185.50
19980925 07:30,-90.73,-9.42,14.12,-76.25,-26.94,18.04,-199.00
19980925 09:30,-137.73,55.00,23.11,-163.97,32.63,13.42,-200.00
19980925 10:30,-139.63,72.35,20.38,-187.27,44.65,11.52,-182.50
19980925 11:30,-152.52,78.33,13.86,-227.09,87.24,9.31,-159.50
19990922 23:30,-275.09,8.90,14.81,-259.61,47.68,4.86,-164.00
19990923 00:30,-213.48,10.85,9.24,-181.78,25.32,4.86,-154.00
19991022 04:30,-135.38,21.11,10.88,-80.83,28.51,20.20,-180.00
19991022 08:30,-168.31,-9.55,16.21,-171.44,2.86,16.94,-195.00
19991022 09:30,-142.04,4.18,18.15,-162.24,14.87,11.59,-183.50
19991022 10:30,-129.73,20.12,20.01,-162.06,20.35,10.69,-181.00
19991022 11:30,-131.06,28.05,18.96,-174.85,42.43,7.86,-172.50
19991022 12:30,-134.49,26.54,19.35,-168.97,48.83,5.44,-154.00
20000406 19:30,-206.15,21.51,16.80,-187.72,47.15,8.36,-161.50
20000407 05:30,-223.57,31.68,2.72,-220.08,48.59,-4.28,-196.00
20000407 06:30,-214.02,32.69,3.08,-207.84,47.34,-2.89,-189.00
