min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,38.24751457844772,37.662028054034174,15.965242157350986
-300.0,-250.0,29.414677381445905,52.67507755527794,9.256463834924906
-250.0,-200.0,30.443172815142507,30.31216188091402,10.099798460730215
-200.0,-150.0,31.29140993317592,23.82331782035611,12.784641738974909
-150.0,-100.0,20.620711574843753,22.072091212323606,9.221397957017695
-100.0,-50.0,13.878476901291998,16.061347829555856,10.303124141988969
-50.0,0.0,7.148848319814936,10.756069695017603,10.889518255142375
0.0,50.0,6.215224428406859,9.617498823637833,11.464245778937125
50.0,inf,10.10183241703297,10.33045849550119,4.368128369742062

