min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,43.02876707685042,30.02896236584326,52.34816582636507
-300.0,-250.0,63.65621801436127,33.653184460379435,37.061673216702204
-250.0,-200.0,49.06106402627068,26.224597910992273,37.80662799482365
-200.0,-150.0,37.92978071257262,22.30524794880551,30.11764357992989
-150.0,-100.0,29.19750254332452,19.108774576459723,25.20164348184551
-100.0,-50.0,18.072366552699883,12.712836663710089,13.92123484376255
-50.0,0.0,8.786556864673372,7.352644390397342,7.022149083441644
0.0,50.0,6.856292118077472,6.996982800576385,7.438823906338128
50.0,inf,6.042194229839945,6.682230998035843,11.772758810066568

