date,Bx,By,Bz,Mx,My,Mz,dst
19980504 04:30,-143.51,36.22,57.71,-156.97,23.54,55.97,-183.50
19980504 05:30,-143.87,34.04,56.39,-137.42,50.81,70.41,-198.50
19980504 06:30,-121.16,9.29,43.00,-155.58,-34.29,70.50,-188.50
19980504 07:30,-102.74,-60.52,36.64,-111.44,-40.55,72.02,-177.50
19980504 08:30,-109.22,-23.55,38.12,-105.97,-17.11,67.21,-152.50
19980827 08:30,-100.41,14.46,29.34,-186.67,-0.21,50.39,-151.50
19980925 03:30,-168.42,-45.27,58.46,-126.65,-48.18,54.10,-161.00
19980925 04:30,-169.43,-39.67,66.74,-157.32,-17.30,60.12,-168.00
19980925 05:30,-155.10,-24.73,52.47,-174.68,-13.51,62.40,-167.50
19980925 06:30,-175.63,66.39,47.01,-212.73,54.26,57.74,-185.50
19980925 07:30,-164.86,19.44,27.87,-173.60,30.30,56.16,-199.00
19980925 09:30,-139.23,17.95,19.64,-174.74,-14.38,52.36,-200.00
19980925 10:30,-114.51,23.50,11.14,-176.12,-32.92,46.46,-182.50
19980925 11:30,-66.74,-58.52,-15.41,-151.06,-86.29,43.67,-159.50
19990922 23:30,-158.88,-89.77,21.33,-147.42,-74.28,45.87,-164.00
19990923 00:30,-144.27,-68.69,51.37,-125.08,-29.48,52.41,-154.00
19991022 04:30,-190.36,-80.95,58.69,-114.75,-29.81,58.33,-180.00
19991022 08:30,-159.71,-4.39,33.21,-206.67,-17.32,71.30,-195.00
19991022 09:30,-151.20,-29.20,32.37,-143.08,-14.66,67.71,-183.50
19991022 10:30,-138.80,-26.01,39.35,-147.27,-16.99,65.05,-181.00
19991022 11:30,-111.03,-8.92,35.07,-140.11,-20.81,61.91,-172.50
19991022 12:30,-99.16,-15.58,35.99,-118.75,-27.04,58.74,-154.00
20000406 19:30,-161.14,-5.44,-4.38,-123.20,-44.07,15.11,-161.50
20000407 05:30,-168.15,-32.39,86.08,-161.00,-20.43,83.73,-196.00
20000407 06:30,-173.31,-16.28,84.89,-158.33,-13.41,82.11,-189.00
20000407 07:30,-156.73,-24.46,76.38,-146.45,-14.16,76.34,-171.50
20000407 08:30,-125.45,-36.27,69.40,-121.54,-18.93,71.02,-161.00
20000407 09:30,-128.63,-31.53,63.11,-125.97,-17.71,68.34,-164.00
20000407 10:30,-123.45,-24.18,61.82,-120.33,-19.71,66.55,-162.50
20000407 11:30,-121.15,-23.35,60.44,-116.90,-20.51,65.64,-159.50
20000407 12:30,-121.47,-20.82,59.19,-116.33,-19.29,64.68,-154.50
20000716 06:30,-149.46,-32.66,72.04,-142.69,-25.77,62.38,-186.50
20000716 07:30,-135.77,-32.97,69.70,-129.81,-23.42,59.71,-176.00
20000716 08:30,-133.40,-31.44,66.94,-128.20,-26.13,57.35,-169.50
20000716 09:30,-120.57,-36.93,64.41,-126.55,-35.44,55.31,-161.00
20000716 10:30,-124.93,-34.33,60.87,-123.89,-34.59,53.70,-152.50
20000812 06:30,-100.22,60.69,50.36,-153.12,21.35,44.56,-155.50
20000812 07:30,-157.20,-6.48,40.93,-194.83,-23.85,59.08,-199.50
20000812 11:30,-112.79,-38.61,3.04,-173.00,-50.44,63.01,-184.00
20000812 12:30,-115.04,-72.78,5.82,-154.69,-54.41,61.05,-168.00
20000812 13:30,-128.06,-54.59,7.03,-158.24,-45.88,55.76,-160.50
20000812 14:30,-95.02,-33.96,-10.87,-126.47,-45.89,54.59,-156.50
20000812 15:30,-76.33,-34.94,-1.23,-108.35,-13.14,47.30,-152.50
20000917 22:30,-152.46,-117.86,1.81,-150.38,-99.18,46.68,-186.00
20000917 23:30,-158.05,-115.70,36.07,-177.88,-88.71,65.15,-197.00
20000918 00:30,-184.16,-111.43,66.46,-138.91,-76.74,71.95,-187.50
20000918 01:30,-149.71,-75.36,78.29,-138.48,-46.69,70.83,-171.00
20000918 02:30,-117.26,-65.81,70.77,-122.89,-51.25,65.63,-157.00
20001005 05:30,-159.32,-6.21,76.86,-120.09,14.84,63.45,-154.00
20001005 06:30,-227.38,33.45,87.63,-138.56,63.85,69.13,-170.50
20001005 07:30,-186.34,15.38,92.49,-129.98,25.77,72.62,-164.00
20001005 12:30,-61.78,12.39,17.97,-159.27,-17.62,53.24,-173.50
20001005 13:30,-122.95,-23.34,0.75,-154.56,2.96,51.36,-172.50
20001005 14:30,-113.93,-36.97,-6.04,-135.76,-3.83,46.84,-165.50
20001005 15:30,-85.22,-51.83,-12.54,-129.91,-33.95,44.03,-158.50
20010401 02:30,-146.85,-40.33,60.75,-145.04,-22.75,76.92,-199.00
20010401 03:30,-143.98,-30.08,63.58,-143.33,-11.80,74.10,-187.00
20010401 04:30,-129.68,-35.78,64.25,-133.22,-21.83,70.90,-173.50
